parameter,factor,rate,rmse_mV,mae_mV,bias_mV,Q_exp_Ah,Q_sim_Ah,capacity_error_pct,runtime_s
De,1.2,1p5C,53.635450721286425,47.617862738702335,38.54699225358019,4.92251608,4.901613807244392,-0.424625789248978,1.0069653760000108
kappa_e,0.8,C10,81.88580006238215,64.40809260544229,64.40809260544229,4.99775592,5.11939517223502,2.433877407823061,1.010624139000015
kappa_e,0.8,C2,113.834859984803,85.56004830259882,85.10892250638338,4.92394309,5.054283159315026,2.6470669325917426,1.010624139000015
kappa_e,0.8,1C,65.31305484573502,59.08061859541567,59.08061859541567,4.92969848,4.9770498408411035,0.9605325971397664,1.010624139000015
kappa_e,0.8,1p5C,42.537440531947325,35.526399469053025,20.128331524228976,4.92251608,4.893305328748283,-0.5934109869219093,1.010624139000015
kappa_e,1.2,C10,82.63084356216085,65.30806594275404,65.30806594275404,4.99775592,5.119779403931385,2.4415654922856715,1.2421147509999741
kappa_e,1.2,C2,117.13723601151978,89.59747794494162,89.4119901584728,4.92394309,5.055549580383941,2.67278658543434,1.2421147509999741
kappa_e,1.2,1C,73.18943871120385,67.64728871392612,67.64728871392612,4.92969848,4.97980265392347,1.0163740059710598,1.2421147509999741
kappa_e,1.2,1p5C,49.93722119988744,43.161015010990695,32.202837824279754,4.92251608,4.898241278103401,-0.4931380924325803,1.2421147509999741
Rn,0.8,C10,85.77673727939016,68.08256481296516,68.08256481296516,4.99775592,5.125051464748829,2.547054053588684,1.129624204999999
Rn,0.8,C2,130.44844830863929,100.3989449394222,100.3989449394222,4.92394309,5.075434704584121,3.076632118104383,1.129624204999999
Rn,0.8,1C,99.71258079021773,88.49259916353323,88.49259916353323,4.92969848,5.0164152554825066,1.759068548194588,1.129624204999999
Rn,0.8,1p5C,60.372062459838176,57.416932819944336,57.416932819944336,4.92251608,4.950817818984735,0.5749445715316921,1.129624204999999
Rn,1.2,C10,78.66392146523413,61.733163678512454,61.71786922544118,4.99775592,5.11348676242847,2.3156561521009476,1.0823393230000136
Rn,1.2,C2,99.31486699930731,75.35756348859235,74.44908350568527,4.92394309,5.031286876261905,2.1800371023765335,1.0823393230000136
Rn,1.2,1C,40.544719335473744,34.73730999654242,34.73730999654242,4.92969848,4.934087636609279,0.08903499122889716,1.0823393230000136
Rn,1.2,1p5C,57.30204712507421,45.65716668763738,6.124364681404936,4.92251608,4.831375751202965,-1.8514988537535697,1.0823393230000136
Rp,0.8,C10,85.96671974065808,68.97296003043886,68.97296003043886,4.99775592,5.1233365364059065,2.512740086072593,1.2622812769999996
Rp,0.8,C2,128.5624084925877,103.46880564580059,103.46880564580059,4.92394309,5.061447825018583,2.792573604228694,1.2622812769999996
Rp,0.8,1C,98.14919956290481,93.35753188099284,93.35753188099284,4.92969848,4.990133760587616,1.2259427393542388,1.2622812769999996
Rp,0.8,1p5C,74.54057035569734,68.1820202799074,65.81812540904468,4.92251608,4.916055299175725,-0.1312495626073231,1.2622812769999996
Rp,1.2,C10,77.9409448222728,60.16785932651763,60.102750900352554,4.99775592,5.114952547636942,2.3449850195353554,1.2030339829999832
Rp,1.2,C2,101.7756565082738,69.930228207601,69.06609242525126,4.92394309,5.047009548274853,2.499347698083434,1.2030339829999832
Rp,1.2,1C,39.8315495142974,34.24071051484154,30.416816650498646,4.92969848,4.963441343321125,0.6844812813201706,1.2030339829999832
Rp,1.2,1p5C,50.926372992715166,40.16006682734683,-16.646288254983617,4.92251608,4.863871374020285,-1.1913563110131213,1.2030339829999832
brug_e,0.8,C10,83.69364633978233,66.58597484449405,66.58597484449405,4.99775592,5.120328746922052,2.4525572853916326,1.127023691000005
brug_e,0.8,C2,121.64792997092746,95.13655021270718,95.11249844273807,4.92394309,5.057230199638302,2.7069181589241755,1.127023691000005
brug_e,0.8,1C,86.1823929303907,81.12922717504543,81.12922717504543,4.92969848,4.984335291805934,1.1083195458626496,1.127023691000005
brug_e,0.8,1p5C,67.33013344487328,61.11295543743171,55.810882381526504,4.92251608,4.9089316449685905,-0.2759652748845835,1.127023691000005
brug_e,1.2,C10,80.35041637289002,62.54459266927796,62.54439355036334,4.99775592,5.118580429362609,2.417575233698263,1.4171840289999977
