parameter,label,group,factor,rate,voltage_rms_shift_mV,cutoff_capacity_shift_pct,rmse_mV,capacity_error_pct
j0n,Negative exchange-current density,kinetics,0.8,C2,9.247174391350748,-0.07636675804067776,108.18626175344673,2.584135806508141
j0n,Negative exchange-current density,kinetics,0.8,1C,10.778011150410785,-0.09107410797884521,59.558127810651136,0.9021821597811434
j0n,Negative exchange-current density,kinetics,0.8,1p5C,11.21471425008634,-0.11006264696159634,40.929396408469934,-0.6423582287106424
j0n,Negative exchange-current density,kinetics,1.2,C10,2.4478030378920317,0.03300725004406706,84.37150769257988,2.4723152841781713
j0n,Negative exchange-current density,kinetics,1.2,C2,6.890279962421116,0.05711261387819173,121.72540962259541,2.721169114565868
j0n,Negative exchange-current density,kinetics,1.2,1C,8.410794098609028,0.06920221375935914,78.36171845582398,1.0640518873108586
j0n,Negative exchange-current density,kinetics,1.2,1p5C,8.902285438992505,0.08416776065522426,52.40664286168482,-0.4491628401413396
j0p,Positive exchange-current density,kinetics,0.8,C10,0.37337167843010277,-0.003515254735860943,82.02123280202095,2.4349021769682504
j0p,Positive exchange-current density,kinetics,0.8,C2,1.891284012070485,-0.014432935869641263,114.18062034029909,2.647718638902008
j0p,Positive exchange-current density,kinetics,0.8,1C,4.214215763952391,-0.03763314063972647,65.640290974032,0.9561544167451962
j0p,Positive exchange-current density,kinetics,0.8,1p5C,6.8590224209233055,-0.07168014491435501,43.549852896637304,-0.6041802601409226
j0p,Positive exchange-current density,kinetics,1.2,C10,0.2483859745686121,0.002316859081135216,82.54007321623972,2.440876507064462
j0p,Positive exchange-current density,kinetics,1.2,C2,1.2668554785776514,0.009666842388060749,116.90647728967191,2.6724600823972464
j0p,Positive exchange-current density,kinetics,1.2,1C,2.8791641730346607,0.02591959841032913,73.04532003296998,1.0203389727808834
j0p,Positive exchange-current density,kinetics,1.2,1p5C,4.899943310635159,0.052672958117101765,49.41333933626539,-0.48048981251875383
De,Electrolyte diffusivity,electrolyte_transport,0.8,C10,0.8143357766056116,-0.006821259514955985,81.67272166098907,2.431515555158435
De,Electrolyte diffusivity,electrolyte_transport,0.8,C2,3.7233390125951393,-0.02168245170904444,112.96227792385238,2.6402761021039316
De,Electrolyte diffusivity,electrolyte_transport,0.8,1C,10.522278549614912,-0.07283279903667364,60.30557641582254,0.920604816828874
De,Electrolyte diffusivity,electrolyte_transport,0.8,1p5C,24.29307852062733,-0.2156953073303215,40.41177745100909,-0.7474279915554264
De,Electrolyte diffusivity,electrolyte_transport,1.2,C10,0.540306100520413,0.004468360090216331,82.77151250692263,2.4430804724934494
De,Electrolyte diffusivity,electrolyte_transport,1.2,C2,2.370345002207179,0.01374258237945802,117.64090362344044,2.6766443404273472
De,Electrolyte diffusivity,electrolyte_transport,1.2,1C,6.166969704314348,0.04180682352863909,75.79444729659119,1.036384142605186
De,Electrolyte diffusivity,electrolyte_transport,1.2,1p5C,12.76905027999901,0.10883626559124385,53.635450721286425,-0.424625789248978
kappa_e,Electrolyte conductivity,electrolyte_transport,0.8,C10,0.5513159127606878,-0.004515629705881535,81.88580006238215,2.433877407823061
kappa_e,Electrolyte conductivity,electrolyte_transport,0.8,C2,2.5743541770200036,-0.015067740284733972,113.834859984803,2.6470669325917426
kappa_e,Electrolyte conductivity,electrolyte_transport,0.8,1C,5.108458878974836,-0.033298057976297576,65.31305484573502,0.9605325971397664
kappa_e,Electrolyte conductivity,electrolyte_transport,0.8,1p5C,7.64181585063197,-0.06085317672139768,42.537440531947325,-0.5934109869219093
kappa_e,Electrolyte conductivity,electrolyte_transport,1.2,C10,0.36715552521187067,0.002989443314616323,82.63084356216085,2.4415654922856715
kappa_e,Electrolyte conductivity,electrolyte_transport,1.2,C2,1.7157695996590874,0.009984877622987023,117.13723601151978,2.67278658543434
kappa_e,Electrolyte conductivity,electrolyte_transport,1.2,1C,3.405132201150831,0.021993661758734254,73.18943871120385,1.0163740059710598
kappa_e,Electrolyte conductivity,electrolyte_transport,1.2,1p5C,5.094971900725093,0.039956916696512135,49.93722119988744,-0.4931380924325803
Rn,Negative particle radius,microstructure,0.8,C10,4.490480399123933,0.10596689618427209,85.77673727939016,2.547054053588684
Rn,Negative particle radius,microstructure,0.8,C2,14.37864822639238,0.40335674331808213,130.44844830863929,3.076632118104383
Rn,Negative particle radius,microstructure,0.8,1C,20.592536138576005,0.7573773015487897,99.71258079021773,1.759068548194588
Rn,Negative particle radius,microstructure,0.8,1p5C,23.915850545173406,1.1137616939561026,60.372062459838176,0.5749445715316921
Rn,Negative particle radius,microstructure,1.2,C10,4.831554940981835,-0.11992268084904488,78.66392146523413,2.3156561521009476
Rn,Negative particle radius,microstructure,1.2,C2,15.152199691812571,-0.46998522923743036,99.31486699930731,2.1800371023765335
Rn,Negative particle radius,microstructure,1.2,1C,22.005394905124547,-0.8962168557694388,40.544719335473744,0.08903499122889716
Rn,Negative particle radius,microstructure,1.2,1p5C,25.83043682583752,-1.3256810848928886,57.30204712507421,-1.8514988537535697
Rp,Positive particle radius,microstructure,0.8,C10,4.570957785591295,0.07246975745176923,85.96671974065808,2.512740086072593
Rp,Positive particle radius,microstructure,0.8,C2,16.634324399378887,0.12666523993292017,128.5624084925877,2.792573604228694
Rp,Positive particle radius,microstructure,0.8,1C,30.941654763843818,0.22949945206671055,98.14919956290481,1.2259427393542388
Rp,Positive particle radius,microstructure,0.8,1p5C,43.80175622369172,0.4037842170287733,74.54057035569734,-0.1312495626073231
Rp,Positive particle radius,microstructure,1.2,C10,5.530663563000922,-0.09129197410092975,77.9409448222728,2.3449850195353554
Rp,Positive particle radius,microstructure,1.2,C2,19.574181351355257,-0.15895590092228537,101.7756565082738,2.499347698083434
Rp,Positive particle radius,microstructure,1.2,1C,34.6813291990437,-0.3066319925282909,39.8315495142974,0.6844812813201706
Rp,Positive particle radius,microstructure,1.2,1p5C,47.97297019459356,-0.6620019147470299,50.926372992715166,-1.1913563110131213
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,0.8,C10,1.6710010632275145,0.013719581658912954,83.69364633978233,2.4525572853916326
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,0.8,C2,7.463738476225245,0.04323125440976628,121.64792997092746,2.7069181589241755
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,0.8,1C,17.13707160785169,0.1130341123664741,86.1823929303907,1.1083195458626496
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,0.8,1p5C,31.72068372612221,0.25829320923441346,67.33013344487328,-0.2759652748845835
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,1.2,C10,2.4541611160507086,-0.020429737803224077,80.35041637289002,2.417575233698263
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,1.2,C2,11.505066403860809,-0.067566050282871,107.16410497243179,2.5931708362656574
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,1.2,1C,29.179745636440526,-0.2030664074340303,43.93105525848201,0.7890764757871741
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,1.2,1p5C,68.38243085939173,-0.6308436384140585,55.90405039109865,-1.160364071552997
