cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,dE_s_mV,dE_tau_expected_mV,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_r2,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,21,lithiation,0.19259340903890493,0.2022231209279139,0.1974082649834094,4.41548e-05,1799.9800000000105,9000.0,0.022077154695555684,-49.059093,58.35202340000001,-26.20594790220731,-3.0642003371557602,-0.0006176835472205316,4.596333163546271e-06,0.912165679770919,-0.31179369536501267,6,0.014444567833513444,7.712930499999993,0.0022464319849470867,1.37e-05,930605.2642933486,2.0168594268862386e-16,2.0168594268862388e-12,0.014882485325144143,3.0015880823513076e-14,7.31396971258998e-14,7.313969712589981e-10,19.043148939198694,True,
1,22,lithiation,0.2022231209279139,0.21185278919896108,0.20703795506343747,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-45.667924,56.48631600000001,-23.348558349022365,-3.031228529455946,-0.0005503338554029156,4.516315467092671e-06,0.8951623086618479,-0.3084400893060274,6,0.014444502406570789,7.6328814,0.0022464319849470867,1.37e-05,754888.5731347703,2.4863272101284234e-16,2.4863272101284235e-12,0.016413002481143538,4.0808094668772503e-14,8.63390818193093e-14,8.63390818193093e-10,18.634792939923386,False,sqrt(t) fit weak (R2=0.895)
1,23,lithiation,0.21185278919896108,0.22148245747000828,0.2166676233344847,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-43.79481069999999,54.2344153,-20.751411453791153,-2.9547323367546365,-0.0004891181759363437,4.1511760330361e-06,0.8886830779258472,-0.3006562840669689,6,0.014444502406570789,7.0554837000000035,0.0022464319849470867,1.37e-05,627565.5039398442,2.990763495152072e-16,2.990763495152072e-12,0.016974122971771772,5.076558734619722e-14,1.0076175092870333e-13,1.0076175092870333e-09,18.355102634971324,False,sqrt(t) fit weak (R2=0.889)
1,24,lithiation,0.22148245747000828,0.23111210393207443,0.22629728070104135,4.41545e-05,1799.9799999999814,9000.0,0.022077004697221993,-41.17828609999999,51.22873189999999,-19.651026524418295,-2.7773438209663546,-0.0004631817103286373,3.590191785350068e-06,0.9054036623972844,-0.2826069060627168,6,0.014444469693099232,6.655238499999994,0.0022464319849470867,1.37e-05,636958.6812077058,2.9466589519453647e-16,2.9466589519453645e-12,0.015502303762394894,4.568000215723722e-14,1.0025309557419372e-13,1.0025309557419372e-09,18.445225079182077,True,
1,25,lithiation,0.23111210393207443,0.24074172858515971,0.23592691625861706,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-38.1251425,48.1125638,-17.894264951084327,-2.5930430622577356,-0.00042177421290526577,3.2565943489696123e-06,0.9060652392019346,-0.2638540936983179,6,0.014444436979627925,6.111934799999997,0.0022464319849470867,1.37e-05,605910.3053567238,3.0976532061044794e-16,3.0976532061044795e-12,0.015442358728085978,4.7835072023871024e-14,1.0664250477983446e-13,1.0664250477983445e-09,18.554479291257465,True,
1,26,lithiation,0.24074172858515971,0.250371353238245,0.24555654091170237,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-35.61977300000001,46.78355160000002,-15.182051597732588,-2.3443001760557896,-0.00035784637594363846,3.1537718881177654e-06,0.8810010047612649,-0.23854335753739458,7,0.014444436979627925,5.996309300000002,0.0022464319849470867,1.37e-05,533623.0198138655,3.517277048232826e-16,3.517277048232826e-12,0.017626401160561096,6.199693624498599e-14,1.4007689764188627e-13,1.4007689764188627e-09,19.956297439141025,False,sqrt(t) fit weak (R2=0.881)
1,27,lithiation,0.250371353238245,0.26000097789133025,0.2551861655647876,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-32.7712149,46.74869030000001,-12.40296204269106,-2.1361995787975316,-0.00029234224303429214,3.478103225963495e-06,0.8024710553602087,-0.217368161765733,7,0.014444436979627884,5.732439499999992,0.0022464319849470867,1.37e-05,428911.0641603007,4.3759654549236096e-16,4.3759654549236094e-12,0.02379473585386364,1.0412494210553953e-13,2.0957000863179063e-13,2.0957000863179063e-09,21.88404621178461,False,sqrt(t) fit weak (R2=0.802)
1,28,lithiation,0.26000097789133025,0.26963058073543467,0.26481577931338246,4.41543e-05,1799.9799999999814,9000.0,0.022076904698333105,-32.84016249999999,46.563394300000006,-11.785525704716914,-1.8861658175327256,-0.00027778904813190105,3.4326612417729376e-06,0.7901760349914921,-0.19192650778346235,7,0.014444404266156619,5.011990600000002,0.0022464319849470867,1.37e-05,496750.42716703174,3.77835608658449e-16,3.77835608658449e-12,0.02471415820643171,9.337889008408327e-14,2.3026737367265556e-13,2.3026737367265555e-09,24.686797877033477,False,sqrt(t) fit weak (R2=0.790)
1,29,lithiation,0.26963058073543467,0.2792602053885199,0.2744453930619773,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-32.207138900000004,46.35657370000001,-11.758859320331052,-1.5469628108428197,-0.00027716051193239126,3.35684926199302e-06,0.7967529569378594,-0.15741060238488408,7,0.014444436979627884,3.995813400000006,0.0022464319849470867,1.37e-05,735141.1154894781,2.553115259714872e-16,2.553115259714872e-12,0.02422314231265288,6.184447427667906e-14,2.292626629864419e-13,2.292626629864419e-09,29.96618494968468,False,sqrt(t) fit weak (R2=0.797)
1,30,lithiation,0.2792602053885199,0.2888898082326243,0.2840750068105721,4.41543e-05,1799.9799999999814,9000.0,0.022076904698333105,-32.346486999999996,45.785076899999986,-11.39548250715475,-1.3173396720303774,-0.00026859559072526607,3.2968242499198178e-06,0.7923960100147183,-0.13404569230722752,7,0.014444404266156535,3.355413700000004,0.0022464319849470867,1.37e-05,952072.3796822105,1.9713837309580232e-16,1.971383730958023e-12,0.024548610355201145,4.839473107187119e-14,2.381351598587946e-13,2.381351598587946e-09,34.75571097728558,False,sqrt(t) fit weak (R2=0.792)
1,31,lithiation,0.2888898082326243,0.29851947650367133,0.2937046423681478,4.41546e-05,1799.9799999999814,9000.0,0.02207705469666644,-30.89441359999999,45.15355829999999,-10.769703471011297,-1.124523279591812,-0.0002538457554487952,3.2473210199794898e-06,0.7784622364517378,-0.11442491300590403,7,0.01444450240657058,2.9106809999999985,0.0022464319849470867,1.37e-05,1166999.4755527417,1.6083126336547994e-16,1.6083126336547994e-12,0.025584993644965845,4.1148668511176326e-14,2.5930896578018895e-13,2.5930896578018895e-09,40.153511376296414,False,sqrt(t) fit weak (R2=0.778)
1,32,lithiation,0.29851947650367133,0.3081491011567566,0.30333428883021396,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-30.3525776,44.467181,-10.078554151392249,-0.9861638049511456,-0.000237555119254506,3.1895465961306033e-06,0.7613284071750993,-0.10034671648179762,6,0.014444436979627884,2.3629441999999945,0.0022464319849470867,1.37e-05,1328918.7233165146,1.4123512349317467e-16,1.4123512349317466e-12,0.026853107658887914,3.792601976378549e-14,2.871598998112606e-13,2.871598998112606e-09,45.09106983722941,False,sqrt(t) fit weak (R2=0.761)
1,33,lithiation,0.3081491011567566,0.31777868219188016,0.3129638916743184,4.41542e-05,1799.9799999999814,9000.0,0.02207685469888866,-28.71002260000001,43.3167965,-9.707255437183736,-0.8796407847484589,-0.0002288034760120412,3.071612281981432e-06,0.7613792637095385,-0.08950791320026069,6,0.014444371552685353,2.079814700000002,0.0022464319849470867,1.37e-05,1549466.7865229868,1.211319930394749e-16,1.211319930394749e-12,0.026849349804631314,3.2523152536490276e-14,2.9373845749961357e-13,2.9373845749961357e-09,49.243733636551234,False,sqrt(t) fit weak (R2=0.761)
