branch,SOC,n_pulses,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_cm2_s_p25,Ds_app_cm2_s_p75,Ds_app_rel_uncertainty_median,Ds_app_cm2_s_uncertainty,SOC_lo,SOC_hi
lithiation,0.18,10,1.2744518294467435e-15,1.2744518294467435e-11,1.1394771156792486e-11,1.9574709977562372e-11,0.004355641703419287,4.2831870001523925e-14,0.17581274268159042,0.18777857490338135
lithiation,0.2,9,1.2916792688618706e-15,1.2916792688618706e-11,1.244957528025071e-11,1.593058782795317e-11,0.003183896237173709,4.5791932879879915e-14,0.19590577382756447,0.20748704209017949
lithiation,0.22,8,1.782754532745868e-15,1.7827545327458677e-11,1.6728454294153e-11,5.405861784965661e-11,0.010339344803879368,9.774280451671199e-14,0.2159988163499446,0.2277297681186031
lithiation,0.24,8,4.006621386032857e-15,4.006621386032857e-11,3.484219575959492e-11,6.838636883839259e-11,0.014696653460612327,4.496474177059419e-13,0.23592691625861706,0.24797237953541362
lithiation,0.26,7,2.4310338645401786e-15,2.4310338645401785e-11,2.379215245074221e-11,2.443664998071699e-11,0.013209595289065701,2.673925741079826e-13,0.25618476487783204,0.26821492218525633
lithiation,0.44,2,2.6123440951850288e-17,2.6123440951850287e-13,2.531618621171387e-13,2.6930695691986706e-13,0.014653200598178501,3.822899505547379e-15,0.4381491757317835,0.4477788658118114
lithiation,0.46,5,8.896466991216484e-17,8.896466991216485e-13,3.405643396532543e-13,9.259563496655362e-13,0.014535081320317503,1.29310871180852e-14,0.4574085667963298,0.46746326823904377
lithiation,0.48,10,8.763368908978069e-17,8.763368908978069e-13,8.587447019572e-13,9.65962573658557e-13,0.012647496983931382,1.1223142002030384e-14,0.4701492715063774,0.4875690747377048
lithiation,0.5,10,7.20985206013049e-17,7.20985206013049e-13,6.673513325158829e-13,7.984426226661866e-13,0.009075660946942822,6.249389039702337e-15,0.490370433218868,0.507674904003928
lithiation,0.52,10,4.397598558431795e-17,4.3975985584317946e-13,3.616643625859708e-13,5.198883372367133e-13,0.0054965214794527395,2.357436493398875e-15,0.5105916292791283,0.5277808471079621
