dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,time_s,residual_mV,response_mV_per_unit,abs_current_A,progress_fraction,valid,response_rms_mV,cosine_alignment,projection_fraction
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7596.77467122137,268.19711532555243,1.3360188327560252,0.499945729970932,0.7093020172407191,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7601.80626353532,268.3573325832915,1.337734433298765,0.499945729970932,0.7097718111641506,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7606.868739517093,290.152246872811,2.6805812508134963,1.000052809715271,0.7102444886597339,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7612.946828307271,291.1245197807757,2.693571225242941,1.0004140138626099,0.7108119927422458,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7617.99366471055,228.060306048242,-1.3451083334181657,0.5000878572463989,0.7112832099885715,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7623.024699812904,225.97034330926036,-1.3375675143711963,0.5002684593200684,0.7117529518858042,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7629.1029658541665,247.1553392531467,5.127779756364248e-05,1.9243103452026844e-05,0.7123204725180439,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7634.149488712199,246.71682605121913,5.12227138482757e-05,1.9243103452026844e-05,0.7127916604890144,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7639.212313882916,246.60800402307802,5.1172905912721944e-05,1.9243103452026844e-05,0.7132643705879634,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7645.274356898804,268.37392719415834,1.3298411133266796,0.4997650980949402,0.7138303764951887,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7650.337215191939,268.54171362239975,1.3330505469977272,0.499945729970932,0.7143030896867393,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7655.4152697002755,268.4673183205417,1.3347922560880132,0.4997650980949402,0.7147772217312326,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7661.493389918665,268.5838261035558,1.3374653074960108,0.499945729970932,0.7153447287481601,True,2.99862487135529,0.6303439293527081,0.39733346927181185
