baseline,model,direction,bin_lo,bin_hi,n,mean_resid_mV,sd_resid_mV
D0A,SPM,charge,0.3,0.4,1930,-47.66879751792837,0.2678385648603779
D0A,SPM,charge,0.4,0.5,1929,-46.93382620076324,0.23039134660388716
D0A,SPM,charge,0.5,0.6,1929,-46.08968046819922,0.2392381000301836
D0A,SPM,charge,0.6,0.7,1929,-45.30898820233094,0.2023325352721022
D0A,SPM,charge,0.7,0.8,1930,-44.77078507258854,0.08470141447841886
D0A,SPM,charge,0.8,0.9,1929,-44.939408317190406,0.19195361477345996
D0A,SPM,charge,0.9,1.0,1930,-55.163570630387966,24.443131742525594
D0A,SPM,charge,0.0,0.1,1931,-219.03572186012198,105.85271159476332
D0A,SPM,charge,0.1,0.2,1932,-63.20609250472421,10.166736398010407
D0A,SPM,charge,0.2,0.3,1932,-49.51986598826494,0.9932857260786305
D0A,SPM,charge,0.3,0.4,1932,-47.80963815146491,0.24718874410235617
D0A,SPM,charge,0.4,0.5,1932,-47.051656240189,0.1757266432015297
D0A,SPM,charge,0.5,0.6,1932,-46.4263618066805,0.1956963833106963
D0A,SPM,charge,0.6,0.7,1932,-45.76488331518053,0.2043105487905644
D0A,SPM,charge,0.7,0.8,1932,-45.33975840444162,0.04888053650721128
D0A,SPM,charge,0.8,0.9,1932,-45.53846289514628,0.17893881246277651
D0A,SPM,charge,0.9,1.0,1931,-55.861173277300516,23.738797961771766
D0A,SPM,charge,0.0,0.1,1932,-217.0127485020878,105.64392693351336
D0A,SPM,charge,0.1,0.2,1932,-62.791850946968076,10.33368704020554
D0A,SPM,charge,0.2,0.3,1932,-49.138948262700055,0.9009420172819229
D0A,SPM,charge,0.3,0.4,1932,-47.56930980991495,0.23692398625499003
D0A,SPM,charge,0.4,0.5,1933,-46.96429902007638,0.2026986205400624
D0A,SPM,charge,0.5,0.6,1932,-46.19427611804585,0.19529882837814055
D0A,SPM,charge,0.6,0.7,1932,-45.517474443115546,0.14165646385956607
D0A,SPM,charge,0.7,0.8,1932,-45.21860615272034,0.029358822148437824
D0A,SPM,charge,0.8,0.9,1932,-45.44761669813297,0.20162207534805535
D0A,SPM,charge,0.9,1.0,1933,-55.51957443098596,23.93840381386631
D0A,SPM,discharge,0.0,0.1,1908,0.052409227335562976,5.5672971558696664
D0A,SPM,discharge,0.1,0.2,1909,-4.352697713802052,0.27483300514653336
D0A,SPM,discharge,0.2,0.3,1909,-5.113838266997358,0.22768391214591832
D0A,SPM,discharge,0.3,0.4,1909,-5.939486310533502,0.20596746593890608
D0A,SPM,discharge,0.4,0.5,1909,-6.605629201892242,0.21233383208868337
D0A,SPM,discharge,0.5,0.6,1909,-7.434112256092326,0.32653967672919804
D0A,SPM,discharge,0.6,0.7,1909,-8.149014931136207,0.11191548667809045
D0A,SPM,discharge,0.7,0.8,1909,-8.339996811374103,0.014629185991898412
D0A,SPM,discharge,0.8,0.9,1909,-8.46948801968839,0.23033613007051762
D0A,SPM,discharge,0.9,1.0,1908,80.86618204077789,195.56833505631636
D0A,SPM,discharge,0.0,0.1,1921,1.2285002278162356,8.415374826849943
D0A,SPM,discharge,0.1,0.2,1922,-4.624610353203979,0.21322726908890338
D0A,SPM,discharge,0.2,0.3,1922,-5.472962641132625,0.27942766061824575
