cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,ir_skip_s,n_fit_samples
2,57,lithiation,4,0.5661997638798804,0.576310373359267,4.4154e-05,1799.9799999999814,9000.0,-0.009856112299999997,0.012970842400000002,0.02207675469999977,2827037.651,0.0844900906,0.0746339783,1801,90811,3,8999.970000000205,0.0876048207,-6.0420477900983e-05,7.470515860995706e-07,0.07680841055062745,0.7899846238300596,60.0,1741
2,58,lithiation,4,0.576310373359267,0.58642102863568,4.41542e-05,1799.9799999999814,9000.0,-0.010153338299999995,0.013213962300000007,0.02207685469888866,2837837.651,0.0847257972,0.0745724589,1801,90811,3,8999.970000000205,0.0877864212,-6.850743463439386e-05,6.981653165065296e-07,0.07712463586585322,0.8470200833245787,60.0,1741
2,59,lithiation,4,0.58642102863568,0.5965317068106061,4.41543e-05,1799.9799999999814,9000.0,-0.010710738599999992,0.013724669799999992,0.022076904698333105,2848637.651,0.0848651454,0.0741544068,1801,90811,3,8999.970000000205,0.0878790766,-7.418705023095648e-05,7.198966492719718e-07,0.07694246787565345,0.8592904247569746,60.0,1741
2,60,lithiation,4,0.5965317068106061,0.606642362087019,4.41542e-05,1799.9799999999814,9000.0,-0.010906420700000002,0.013992249999999998,0.02207685469888866,2859437.651,0.0848510638,0.0739446431,1801,90811,3,8999.970000000205,0.0879368931,-7.72501887583412e-05,7.252683393089709e-07,0.0768553448983835,0.867088821362302,60.0,1741
2,61,lithiation,4,0.606642362087019,0.6167530402619451,4.41543e-05,1799.9799999999814,9000.0,-0.011076904900000004,0.0141857118,0.022076904698333105,2870237.651,0.0848073289,0.073730424,1801,90811,3,8999.970000000205,0.0879161358,-8.029757274529235e-05,7.334026509401714e-07,0.0767626056130028,0.8733085237211388,60.0,1741
2,62,lithiation,4,0.6167530402619451,0.6268636955383581,4.41542e-05,1799.9799999999814,9000.0,-0.010938294200000004,0.014047838800000004,0.02207685469888866,2881037.651,0.0848125219,0.0738742277,1801,90811,3,8999.970000000205,0.0879220665,-8.094780591323629e-05,6.997663925457681e-07,0.07695631025544987,0.8849903889573104,60.0,1741
2,63,lithiation,4,0.6268636955383581,0.6369743508147709,4.41542e-05,1799.9799999999814,9000.0,-0.010939039299999995,0.014081940000000001,0.02207685469888866,2891837.651,0.0847836137,0.0738445744,1801,90811,3,8999.970000000205,0.0879265144,-8.466972459812247e-05,6.698799606779331e-07,0.07709556664656868,0.9018334354335189,60.0,1741
2,64,lithiation,4,0.6369743508147709,0.6470850060911839,4.41542e-05,1799.9799999999814,9000.0,-0.0109597892,0.014163471799999994,0.02207685469888866,2902637.651,0.0847080052,0.073748216,1801,90811,3,8999.970000000205,0.0879116878,-8.776860569240731e-05,6.513118065304966e-07,0.07711930973298219,0.9126058553212456,60.0,1741
2,65,lithiation,4,0.6470850060911839,0.6571956155705706,4.4154e-05,1799.9799999999814,9000.0,-0.011234790100000003,0.014385104200000012,0.02207675469999977,2913437.651,0.0847836137,0.0735488236,1801,90811,3,8999.970000000205,0.0879339278,-9.157564783935055e-05,6.288845982426443e-07,0.0771113869213734,0.9242035069460325,60.0,1741
2,66,lithiation,4,0.6571956155705706,0.6673062937454967,4.41543e-05,1799.9799999999814,9000.0,-0.011491991500000007,0.014689005899999996,0.022076904698333105,2924237.651,0.0847183838,0.0732263923,1801,90811,3,8999.970000000205,0.0879153982,-9.742382055611468e-05,6.091965906891994e-07,0.07703350678399257,0.9363329807348951,60.0,1741
