axis,model,rate,branch,case,parameter_set,D_prescribed_m2_s,D_origin,tau_d_of_prescribed_s,Fo_over_window,n_points,rmse_mV,mae_mV,bias_mV,max_abs_mV,v_exp_start_V,v_exp_end_V,v_sim_start_V,v_sim_end_V,duration_s,coverage_fraction
pocv_replay,SPMe,pOCV-lith,lithiation,gitt_curve,sintef_graphite_dsapp_lith_v1_v2,,Phase B1 GITT apparent D_s(SOC),,,932,68.59302422859305,19.46899731777145,-19.46563523432465,1939.1811937909824,3.0160996914,0.0661413521,1.0769184976090176,0.0096844416975017,75250.021,0.4656868012626773
pocv_replay,SPMe,pOCV-lith,lithiation,const_1e-17,sintef_graphite_Dsweep_lith_1e-17_v2,1e-17,prescribed constant (sensitivity grid),18768999.999999996,0.0010245628429857746,239,271.3970861382897,219.39798356390025,-219.39798356390025,1939.1811937909824,3.0160996914,0.1250756681,1.0769184976090176,0.007121611564215,19230.02,0.11900550169969136
pocv_replay,SPMe,pOCV-lith,lithiation,const_3e-17,sintef_graphite_Dsweep_lith_3e-17_v2,3e-17,prescribed constant (sensitivity grid),6256333.333333332,0.00485588257232671,377,217.26638046362757,161.54238840325843,-161.54238840325843,1939.1811937909824,3.0160996914,0.1023074463,1.0769184976090176,0.0061811483154065,30380.02,0.18800757990613934
pocv_replay,SPMe,pOCV-lith,lithiation,const_1e-16,sintef_graphite_Dsweep_lith_1e-16_v2,1e-16,prescribed constant (sensitivity grid),1876899.9999999998,0.03681603761521658,856,140.44220920837094,84.63486737647086,-84.63486737647086,1939.1811937909824,3.0160996914,0.0686651319,1.0769184976090176,0.0065439811475879,69100.021,0.4276273590232464
pocv_replay,SPMe,pOCV-lith,lithiation,const_3e-16,sintef_graphite_Dsweep_lith_3e-16_v2,3e-16,prescribed constant (sensitivity grid),625633.3333333333,0.19185362192977784,1486,98.1653729365742,45.29396185504493,-45.29396185504493,1939.1811937909824,3.0160996914,0.0504309125,1.0769184976090176,0.0062102157957841,120030.021,0.7428090489832818
pocv_replay,SPMe,pOCV-lith,lithiation,const_1e-15,sintef_graphite_Dsweep_lith_1e-15_v2,1e-15,prescribed constant (sensitivity grid),187689.99999999997,0.7924237892269169,1841,74.77907439609277,25.799719241143595,-25.799719241143595,1939.1811937909824,3.0160996914,0.0375318564,1.0769184976090176,0.0060781801097435,148730.021,0.9204197794339597
pocv_replay,SPMe,pOCV-lith,lithiation,const_3e-15,sintef_graphite_Dsweep_lith_3e-15_v2,3e-15,prescribed constant (sensitivity grid),62563.33333333333,2.510416447333369,1944,59.30643407121068,14.921907579862454,-14.921907579862454,1939.1811937909824,3.0160996914,0.0233742651,1.0769184976090176,0.0059986967836588,157060.021,0.97197021095501
pocv_replay,SPMe,pOCV-lith,lithiation,const_1e-14,sintef_graphite_Dsweep_lith_1e-14_v2,1e-14,prescribed constant (sensitivity grid),18768.999999999996,8.523097714316162,1980,49.93566816898531,7.762044949443622,-7.762044949443622,1939.1811937909824,3.0160996914,0.0154301329,1.0769184976090176,0.006051131145155,159970.021,0.989978825087814
pocv_replay,SPMe,pOCV-lith,lithiation,const_3e-14,sintef_graphite_Dsweep_lith_3e-14_v2,3e-14,prescribed constant (sensitivity grid),6256.333333333333,25.698761947892805,1990,46.747768000042115,4.732029356155416,-4.732029356155416,1939.1811937909824,3.0160996914,0.0128203845,1.0769184976090176,0.0063418506604838,160780.021,0.9949915321144707
pocv_replay,SPMe,pOCV-lith,lithiation,const_1e-13,sintef_graphite_Dsweep_lith_1e-13_v2,1e-13,prescribed constant (sensitivity grid),1876.8999999999996,85.83303372582452,1994,45.36194166557782,3.411945173711799,-3.4116943485212254,1939.1811937909824,3.0160996914,0.0117389793,1.0769184976090176,0.0059620954351884,161100.021,0.9969718608163598
pocv_replay,SPMe,pOCV-deli,delithiation,control_native_ecker,sintef_graphite_ocp_deli_capmatch_v1_v2,,reference set native D(SOC),,,2000,6.262144797312737,2.75307124637283,2.75307124637283,63.6630723152469,0.0824038908,1.0000014305,0.1098488894171469,1.063664502815247,148521.31000000003,1.0
pocv_replay,SPMe,pOCV-deli,delithiation,gitt_curve,sintef_graphite_dsapp_deli_v1_v2,,Phase B1 GITT apparent D_s(SOC),,,434,373.20963572762054,112.70770961315766,112.35299939821086,2988.884147049377,0.0824038908,0.1136013865,0.1098488894171469,3.1024855335493773,32160.00100000002,0.21653459022143026
pocv_replay,SPMe,pOCV-deli,delithiation,const_1e-17,sintef_graphite_Dsweep_deli_1e-17_v2,1e-17,prescribed constant (sensitivity grid),18768999.999999996,0.000985135116415367,250,535.845437415743,195.31953941189096,194.78033229683234,2992.5278565997664,0.0824038908,0.1117076576,0.1098488894171469,3.1042355141997664,18490.00100000002,0.12449392615780197
pocv_replay,SPMe,pOCV-deli,delithiation,const_3e-17,sintef_graphite_Dsweep_deli_3e-17_v2,3e-17,prescribed constant (sensitivity grid),6256333.333333332,0.004617720869518891,390,611.1553170227974,245.541218278389,245.16804081615584,3026.919556389181,0.0824038908,0.1127883196,0.1098488894171469,3.1397078759891808,28890.00100000002,0.19451754768389812
pocv_replay,SPMe,pOCV-deli,delithiation,const_1e-16,sintef_graphite_Dsweep_deli_1e-16_v2,1e-16,prescribed constant (sensitivity grid),1876899.9999999998,0.03503116894879856,886,618.0859145940155,251.72838478307958,251.52535267604014,3033.732742985393,0.0824038908,0.1451159269,0.1098488894171469,3.178848669885393,65750.00100000002,0.4426974216696581
pocv_replay,SPMe,pOCV-deli,delithiation,const_3e-16,sintef_graphite_Dsweep_deli_3e-16_v2,3e-16,prescribed constant (sensitivity grid),625633.3333333333,0.1844211263253237,1554,548.1891783961745,195.48427530965813,195.34101719778255,3000.98693950788,0.0824038908,0.1971081793,0.1098488894171469,3.1980951188078794,115380.004,0.776858243439948
pocv_replay,SPMe,pOCV-deli,delithiation,const_1e-15,sintef_graphite_Dsweep_deli_1e-15_v2,1e-15,prescribed constant (sensitivity grid),187689.99999999997,0.7671692951142844,1939,443.34051088291807,131.65865744891303,131.5716710450084,2685.8419696872743,0.0824038908,0.5098827481,0.1098488894171469,3.1957247177872743,143990.00500000003,0.9694905397750667
pocv_replay,SPMe,pOCV-deli,delithiation,const_3e-15,sintef_graphite_Dsweep_deli_3e-15_v2,3e-15,prescribed constant (sensitivity grid),62563.33333333333,2.3739353721562155,2000,168.31690502761842,44.308560078448984,44.28430959592306,1174.8605109320479,0.0824038908,1.0000014305,0.1098488894171469,2.174861941432048,148521.31000000003,1.0
pocv_replay,SPMe,pOCV-deli,delithiation,const_1e-14,sintef_graphite_Dsweep_deli_1e-14_v2,1e-14,prescribed constant (sensitivity grid),18768.999999999996,7.913117907187386,2000,43.22868453298379,11.374521340997598,11.374521340997598,390.8442740794331,0.0824038908,1.0000014305,0.1098488894171469,1.3908457045794331,148521.31000000003,1.0
pocv_replay,SPMe,pOCV-deli,delithiation,const_3e-14,sintef_graphite_Dsweep_deli_3e-14_v2,3e-14,prescribed constant (sensitivity grid),6256.333333333333,23.739353721562157,2000,16.475119533794466,4.80490876935691,4.80490876935691,166.8614792459002,0.0824038908,1.0000014305,0.1098488894171469,1.1668629097459002,148521.31000000003,1.0
pocv_replay,SPMe,pOCV-deli,delithiation,const_1e-13,sintef_graphite_Dsweep_deli_1e-13_v2,1e-13,prescribed constant (sensitivity grid),1876.8999999999996,79.13117907187386,2000,8.43673140822646,2.808965151891386,2.808965151891386,88.7575580561472,0.0824038908,1.0000014305,0.1098488894171469,1.0887589885561473,148521.31000000003,1.0
