branch,SOC,n_pulses,n_valid,valid_fraction,Ds_median_m2_s,Ds_p05_m2_s,Ds_p95_m2_s,Ds_decades_spanned,WH_fit_R2_median,OCP_slope_median_V_per_soc,Fo_pulse_median
delithiation,0.88,10,6,0.6,4.728244351645023e-18,3.2401620799048154e-18,6.7692014064186605e-18,0.31997070090733376,0.9098460040343882,-0.0044571536688199,4.534469214170241e-05
delithiation,0.9,10,0,0.0,,,,,,,
delithiation,0.92,10,0,0.0,,,,,,,
delithiation,0.9400000000000001,10,0,0.0,,,,,,,
delithiation,0.96,10,0,0.0,,,,,,,
delithiation,0.98,10,5,0.5,7.630653210921435e-16,5.451307560933547e-16,8.679687915071901e-16,0.2020034245943259,0.9995707982722396,-0.2969971276691193,0.007317930186261508
delithiation,1.0,5,5,1.0,1.0929168583375383e-15,7.137830455792125e-16,1.558043652860093e-15,0.3390133934697258,0.9840961052688904,-0.6692780322465212,0.010481264247804264
lithiation,0.0,5,0,0.0,,,,,,,
lithiation,0.02,10,0,0.0,,,,,,,
lithiation,0.04,10,0,0.0,,,,,,,
lithiation,0.06,10,5,0.5,1.4460915263858505e-13,2.7363538887854533e-14,1.948706443388462e-13,0.8525741577774905,0.9239228373879598,-3.1411520952500696,1.38682712220398
lithiation,0.08,10,5,0.5,2.7694091096163617e-13,1.0362055409669634e-15,7.356181827678336e-13,2.8512065451591333,0.9207044411360484,-2.000786023848026,2.6559118808292914
lithiation,0.1,10,8,0.8,2.384787707055121e-14,7.162061248096066e-15,9.002401270136366e-14,1.0993203364704536,0.9414976250998361,-1.181610998751414,0.22870532137807453
lithiation,0.12,10,9,0.9,1.984050655484788e-15,8.348542449604469e-16,6.054869010656581e-15,0.8604940924220025,0.9869830508653988,-0.5861307157544929,0.019027393568439428
lithiation,0.14,11,11,1.0,8.443635449356272e-16,8.918182228268822e-17,1.0506894393159803e-15,1.0711980249091173,0.9969276948815282,-0.3373584642022653,0.008097594403606061
lithiation,0.16,10,10,1.0,8.289233960449477e-16,9.169175504259563e-17,9.309142543030098e-16,1.0065793948379047,0.9963448115454582,-0.2878540994378239,0.007949520669256627
lithiation,0.18,10,10,1.0,1.2744518294467435e-15,1.4390545278985396e-16,2.119018383811338e-15,1.1680574741968595,0.9917985540782851,-0.30478617450539536,0.01222221644183246
lithiation,0.2,10,9,0.9,1.2916792688618706e-15,5.882527109725665e-16,1.6366130312001472e-15,0.4443820675296572,0.9956121920740048,-0.3117936953650126,0.012387430605601601
lithiation,0.22,10,8,0.8,1.782754532745868e-15,7.531703510423149e-16,6.576405933149592e-15,0.9410953970387413,0.9514748380686241,-0.2916315950648429,0.017096928466363966
lithiation,0.24,10,8,0.8,4.006621386032857e-15,1.2615817856504463e-15,7.55411086252915e-15,0.777267944002844,0.914156901129437,-0.24859394336657697,0.03842420140888281
lithiation,0.26,10,7,0.7,2.4310338645401786e-15,2.1274304828535736e-15,2.4627073392638538e-15,0.06355742692361446,0.9294880952432468,-0.2056260929344054,0.023314040894539496
lithiation,0.28,10,0,0.0,,,,,,,
lithiation,0.3,10,0,0.0,,,,,,,
lithiation,0.32,10,0,0.0,,,,,,,
lithiation,0.34,10,0,0.0,,,,,,,
lithiation,0.36,10,0,0.0,,,,,,,
lithiation,0.38,10,0,0.0,,,,,,,
lithiation,0.4,11,0,0.0,,,,,,,
lithiation,0.42,9,0,0.0,,,,,,,
lithiation,0.44,10,2,0.2,2.6123440951850288e-17,2.4670382419604733e-17,2.757649948409584e-17,0.048363255093510325,0.9145987967892166,-0.06260780341504195,0.0002505283778811391
lithiation,0.46,9,5,0.5555555555555556,8.896466991216483e-17,3.1965332766625785e-17,1.0556694798827147e-16,0.5188487360886793,0.9158775458336798,-0.0779570232811025,0.0008531867789890532
lithiation,0.48,10,10,1.0,8.763368908978069e-17,3.7161526453306384e-17,1.0147343001524562e-16,0.4362587958456354,0.9349772474384794,-0.0846125409324773,0.0008404224395961493
lithiation,0.5,10,10,1.0,7.209852060130488e-17,4.04862336495186e-17,8.294117556015906e-17,0.3114628093787643,0.9654023304574297,-0.09964968470287144,0.0006914374506470898
lithiation,0.52,10,10,1.0,4.397598558431795e-17,3.2432297845925155e-17,6.023857126091796e-17,0.2688969429505115,0.9870173142658165,-0.10662410424903895,0.0004217374102619749
lithiation,0.54,10,10,1.0,2.902752341945691e-17,2.7504486915565052e-17,5.860912073887924e-17,0.32856165830851203,0.9957383088607724,-0.10793646560741375,0.00027837903779935104
lithiation,0.56,10,4,0.4,6.304796120996003e-17,3.107063470722774e-17,7.94609712633951e-17,0.407803744136939,0.9799607889589959,-0.10706003466400354,0.0006046409996202233
lithiation,0.58,10,0,0.0,,,,,,,
lithiation,0.6,10,0,0.0,,,,,,,
