SOC,Ds_app_m2_s,WH_fit_R2,dE_pulse_mV,dE_relax_mV,OCP_slope_V_per_soc,validity_flag,Ds_app_cm2_s,is_valid,rejection_reasons,branch,cycle,pulse_id,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,sqrt_t_slope_V_per_sqrt_s,u_prime_halfwidth_soc,u_prime_window_curvature_mV,u_prime_knots,dE_s_mV,dE_tau_expected_mV,Ds_app_relax_m2_s,relax_over_pulse_sqrt_ratio,Ds_app_rel_uncertainty,tau_d_s_from_D,Fo_pulse,Q_th_Ah,R_m
0.1657662498614155,9.03610645145749e-16,0.9977933913879342,-16.406446699999993,11.3468766,-0.2914360191773574,valid,9.036106451457487e-12,True,,lithiation,4,17,0.1607430205159372,0.1707894792068938,4.41548e-05,1799.980000000447,9000.0,0.022077154695561,-0.0002727652719082,0.015069688036435,7.403865400000001,7,-11.572386114743738,-2.8641321537222346,1.4182340124566983e-14,3.961715448518521,0.0022553946581805,207711.1430772557,0.008665784479992803,0.002246431984947,1.37e-05
0.1658749754621132,9.15468452502487e-16,0.9973891369493256,-16.77632330000001,11.90575960000001,-0.2914360191773574,valid,9.15468452502487e-12,True,,lithiation,3,17,0.1608484783023236,0.1709014726219029,4.41549e-05,1799.9799999995157,9000.0,0.022077204694994,-0.0002709936017434,0.0150794914793689,7.403865400000001,7,-11.49722093307314,-2.864138640291077,1.5818654048080222e-14,4.156837742599657,0.0024538043600715,205020.7186134468,0.008779502931083082,0.002246431984947,1.37e-05
0.1668270714790344,8.274385421805325e-16,0.9943476224902198,-19.343942400000007,15.103429500000017,-0.2914360191773574,valid,8.274385421805325e-12,True,,lithiation,2,17,0.1617716980438017,0.171882444914267,4.41546e-05,1799.9799999999814,9000.0,0.0220770546966664,-0.0002850426878566,0.015166120305698,7.403865400000001,7,-12.093269865271164,-2.8641191805808446,2.3009369616199235e-14,5.27332437923796,0.0036159853700103,226832.55665778418,0.007935280660419307,0.002246431984947,1.37e-05
0.1670017734119131,9.435517285034376e-16,0.9974099985155996,-15.66001779999998,10.598242300000004,-0.2914360191773574,valid,9.435517285034376e-12,True,,lithiation,5,17,0.1619411205577104,0.1720624262661157,4.41548e-05,1799.980000000447,9000.0,0.022077154695561,-0.0002669296934738,0.0151819585626079,7.403865400000001,7,-11.324804865220726,-2.8641321537222346,1.2919547332375372e-14,3.700332851689995,0.0024439558291424,198918.61180488122,0.009048826470627309,0.002246431984947,1.37e-05
0.1685192928837391,1.0138117451294679e-16,0.9293525678515784,-58.074764900000005,66.7717382,-0.2914360191773574,valid,1.013811745129468e-12,True,,lithiation,1,18,0.163704469652706,0.1733341161147723,4.41545e-05,1799.9800000000105,9000.0,0.0220770046972223,-0.0008143256885227,0.0144444696930994,7.403865400000001,7,-34.54872104799156,-2.864112694010566,5.5101380264927996e-14,23.31323705929348,0.0132232480118793,1851329.9032260787,0.0009722632345879645,0.002246431984947,1.37e-05
0.1758127426815904,1.2197244650280213e-15,0.99778225440836,-15.049248900000006,10.93250509999999,-0.3002379388654044,valid,1.2197244650280214e-11,True,,lithiation,4,18,0.1707894792068938,0.1808360061562869,4.41551e-05,1799.980000000447,9000.0,0.0220773046938943,-0.0002418656379416,0.0150697904240896,7.681816799999991,7,-10.261432955039895,-2.9506544161649715,1.6744200558958184e-14,3.705112005020636,0.0022610917173374,153879.01561496357,0.011697371423952706,0.002246431984947,1.37e-05
0.1759279583979114,1.2562329608966577e-15,0.9966958255149224,-15.585154300000015,11.640399699999998,-0.3002379388654044,valid,1.2562329608966575e-11,True,,lithiation,3,18,0.1709014726219029,0.1809544441739199,4.41548e-05,1799.9799999995157,9000.0,0.0220771546955496,-0.0002383235705385,0.0150794573280256,7.681816799999991,7,-10.111156597100962,-2.9506343687323477,1.9551279164635905e-14,3.9450498588888023,0.0027614066834103,149407.0016010669,0.012047494298865992,0.002246431984947,1.37e-05
0.1769378412480128,1.1127279992296576e-15,0.9909590233074802,-18.193572699999997,14.861822100000005,-0.3002379388654044,valid,1.1127279992296577e-11,True,,lithiation,2,18,0.171882444914267,0.1819932375817586,4.41548e-05,1799.9799999999814,9000.0,0.0220771546955553,-0.0002532255836535,0.0151661890012373,7.681816799999991,7,-10.743391956271898,-2.9506343687331107,2.8229444976409565e-14,5.036822677009995,0.0045809972515235,168675.54346609226,0.010671256561635561,0.002246431984947,1.37e-05
0.1771230791203183,1.2926706979968294e-15,0.9981067364155276,-14.471083899999988,10.287672299999995,-0.3002379388654044,valid,1.2926706979968291e-11,True,,lithiation,5,18,0.1720624262661157,0.182183731974521,4.41548e-05,1799.980000000447,9000.0,0.022077154695561,-0.0002349406341669,0.0151819585626079,7.681816799999991,7,-9.967631559551348,-2.950634368733874,1.5714166659358465e-14,3.486596783733141,0.0020888018916334,145195.52449889318,0.01239693858479893,0.002246431984947,1.37e-05
0.178148928441315,1.2816349765531388e-16,0.9252587498657484,-54.3122292,63.40727209999999,-0.3002379388654044,valid,1.281634976553139e-12,True,,lithiation,1,19,0.1733341161147723,0.1829637407678577,4.41544e-05,1799.9800000000105,9000.0,0.0220769546977779,-0.0007461325372705,0.0144444369796281,7.681816799999991,7,-31.65554674045992,-2.9506076388250286,5.918607839524883e-14,21.48956413779557,0.0136310334364179,1464457.5361447935,0.0012291104081709906,0.002246431984947,1.37e-05
0.1858592582545774,2.027760473203436e-15,0.99263808484909,-13.584554199999989,11.174172099999993,-0.3093344101453864,valid,2.027760473203436e-11,True,,lithiation,4,19,0.1808360061562869,0.1908825103528679,4.4155e-05,1799.980000000447,9000.0,0.0220772546944499,-0.0001932673059217,0.0150697562948714,7.891565500000003,7,-8.199591802269552,-3.0400451045474184,2.7396009653943152e-14,3.675659970730443,0.004130286155315,92560.2419419337,0.01944657838221337,0.002246431984947,1.37e-05
0.1859808957985852,2.0721114405480787e-15,0.9904501806213376,-14.151603000000012,11.93910840000001,-0.3093344101453864,valid,2.0721114405480783e-11,True,,lithiation,3,19,0.1809544441739199,0.1910073474232504,4.41545e-05,1799.9799999995157,9000.0,0.0220770046972162,-0.0001911856303239,0.0150793548739957,7.891565500000003,7,-8.111274277036525,-3.040010679847572,3.19599933740721e-14,3.927324492359561,0.0047093553913278,90579.10512301186,0.019871911933276826,0.002246431984947,1.37e-05
