cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_r2,linear_sqrt_t_slope_V_per_sqrt_s,linear_sqrt_t_r2,slope_ratio_linear_over_quad,Ds_ratio_vs_linear,dUdt_expected_V_per_s,t_slope_over_expected_drift,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,21,lithiation,0.19259340903890493,0.2022231209279139,0.1974082649834094,4.41548e-05,1799.9800000000105,9000.0,0.022077154695555684,-49.059093,58.35202340000001,-0.0017336443249780854,6.607158910098023e-06,2.068108776473559e-05,0.9950851698183789,-0.0006176835472205316,0.912165679770919,0.3562919673436128,0.12694396599358204,-1.7023524356691424e-06,-12.148534775412996,-0.31179369536501267,6,0.014444567833513444,7.712930499999993,0.0022464319849470867,1.37e-05,7330834.963360115,2.5602813450048202e-17,2.56028134500482e-13,0.007622277320558867,1.951517443028019e-15,9.284643224731114e-15,9.284643224731113e-11,19.043148939198694,True,
1,22,lithiation,0.2022231209279139,0.21185278919896108,0.20703795506343747,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-45.667924,56.48631600000001,-0.001645972575814712,6.580818910672128e-06,2.0304477529052742e-05,0.9939723703824875,-0.0005503338554029156,0.8951623086618479,0.3343517768699853,0.11179111069611643,-1.6840345611928622e-06,-12.057043244213677,-0.3084400893060274,6,0.014444502406570789,7.6328814,0.0022464319849470867,1.37e-05,6752670.83790585,2.77949280374233e-17,2.7794928037423296e-13,0.007996267990570622,2.2225569336586183e-15,9.65194185306346e-15,9.65194185306346e-11,18.634792939923386,True,
1,23,lithiation,0.21185278919896108,0.22148245747000828,0.2166676233344847,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-43.79481069999999,54.2344153,-0.0014845666844965403,7.094772924380648e-06,1.8447743308849887e-05,0.9911949128638404,-0.0004891181759363437,0.8886830779258472,0.32946864633582823,0.10854958891836305,-1.641536204154835e-06,-11.23809713252589,-0.3006562840669689,6,0.014444502406570789,7.0554837000000035,0.0022464319849470867,1.37e-05,5781371.53897301,3.246461479508041e-17,3.246461479508041e-13,0.009558038717252627,3.10298045152071e-15,1.0937646642005235e-14,1.0937646642005235e-10,18.355102634971328,True,
1,24,lithiation,0.22148245747000828,0.23111210393207443,0.22629728070104135,4.41545e-05,1799.9799999999814,9000.0,0.022077004697221993,-41.17828609999999,51.22873189999999,-0.0013151165061352644,6.837931358435359e-06,1.578813398560039e-05,0.990707634840893,-0.0004631817103286373,0.9054036623972844,0.3521982335160482,0.1240435956918248,-1.542985933713921e-06,-10.232195667266275,-0.2826069060627168,6,0.014444469693099232,6.655238499999994,0.0022464319849470867,1.37e-05,5134958.218964986,3.6551417167680715e-17,3.6551417167680715e-13,0.010398974275716457,3.800972468676926e-15,1.243575445425916e-14,1.243575445425916e-10,18.445225079182077,True,
1,25,lithiation,0.23111210393207443,0.24074172858515971,0.23592691625861706,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-38.1251425,48.1125638,-0.001194135574732221,6.2328617713129435e-06,1.4313471788978424e-05,0.9906822347626634,-0.00042177421290526577,0.9060652392019346,0.353204629214607,0.124753510098628,-1.4405954856485977e-06,-9.935802195391501,-0.2638540936983179,6,0.014444436979627925,6.111934799999997,0.0022464319849470867,1.37e-05,4856859.777954956,3.864431105298027e-17,3.864431105298027e-13,0.010439119147272087,4.034125674463047e-15,1.3304026796994066e-14,1.3304026796994066e-10,18.554479291257465,True,
1,26,lithiation,0.24074172858515971,0.250371353238245,0.24555654091170237,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-35.61977300000001,46.78355160000002,-0.001111274854396203,5.620669991960852e-06,1.3962605853087103e-05,0.989764791766433,-0.00035784637594363846,0.8810010047612649,0.32201428344031924,0.10369319873958226,-1.3024034578472061e-06,-10.720645564137586,-0.23854335753739458,7,0.014444436979627925,5.996309300000002,0.0022464319849470867,1.37e-05,5146171.844442949,3.6471770798457786e-17,3.647177079845779e-13,0.010115715243129065,3.68938047809869e-15,1.4525021586004234e-14,1.4525021586004234e-10,19.95629743914102,True,
1,27,lithiation,0.250371353238245,0.26000097789133025,0.2551861655647876,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-32.7712149,46.74869030000001,-0.0011245083485610736,6.098264898335275e-06,1.5421778799271916e-05,0.9835564285724268,-0.00029234224303429214,0.8024710553602087,0.2599733860654522,0.06758616146233667,-1.1867907303400893e-06,-12.994522458776382,-0.217368161765733,7,0.014444436979627884,5.732439499999992,0.0022464319849470867,1.37e-05,6346137.358301038,2.9575470779007466e-17,2.9575470779007466e-13,0.010846099819781053,3.2077850828613268e-15,1.4164032441051491e-14,1.4164032441051492e-10,21.88404621178461,True,
1,28,lithiation,0.26000097789133025,0.26963058073543467,0.26481577931338246,4.41543e-05,1799.9799999999814,9000.0,0.022076904698333105,-32.84016249999999,46.563394300000006,-0.0010965734756603106,6.2174984069759544e-06,1.5173788311937448e-05,0.9813592950966686,-0.00027778904813190105,0.7901760349914921,0.25332461006739937,0.06417335806579993,-1.0478815417575448e-06,-14.480442404288773,-0.19192650778346235,7,0.014444404266156619,5.011990600000002,0.0022464319849470867,1.37e-05,7740757.880516245,2.4246979804448113e-17,2.4246979804448113e-13,0.011339866493181475,2.7495751384530908e-15,1.4777030621566683e-14,1.4777030621566683e-10,24.686797877033477,True,
1,29,lithiation,0.26963058073543467,0.2792602053885199,0.2744453930619773,4.41544e-05,1799.9799999999814,9000.0,0.022076954697777547,-32.207138900000004,46.35657370000001,-0.0010789448724694297,5.995170874562294e-06,1.4858741507009364e-05,0.9824449747979757,-0.00027716051193239126,0.7967529569378594,0.2568810687222986,0.06598788346791029,-8.594333330608318e-07,-17.288998384657305,-0.15741060238488408,7,0.014444436979627884,3.995813400000006,0.0022464319849470867,1.37e-05,11140546.974005844,1.6847467223820847e-17,1.6847467223820846e-13,0.011113025377915512,1.8722633081192085e-15,1.5128557888692116e-14,1.5128557888692117e-10,29.966184949684678,True,
1,30,lithiation,0.2792602053885199,0.2888898082326243,0.2840750068105721,4.41543e-05,1799.9799999999814,9000.0,0.022076904698333105,-32.346486999999996,45.785076899999986,-0.001056320050546579,5.86600854298504e-06,1.459818213390164e-05,0.9822021617476283,-0.00026859559072526607,0.7923960100147183,0.25427482000960294,0.06465568409091597,-7.318635051669414e-07,-19.946591175593223,-0.13404569230722752,7,0.014444404266156535,3.355413700000004,0.0022464319849470867,1.37e-05,14725269.604192082,1.2746116373079322e-17,1.2746116373079321e-13,0.011106498527505467,1.4156472272901882e-15,1.5396791666770007e-14,1.5396791666770006e-10,34.755710977285595,True,
