t_s,V_exp,V_sim,residual_mV,cap_fraction
1350.000000,3.37081909,2.90014092,-470.678174,0.007049
1360.000000,3.37126780,2.90075990,-470.507895,0.007101
1370.000000,3.37171102,2.90137888,-470.332133,0.007153
1380.000000,3.37215495,2.90199786,-470.157088,0.007205
1390.000000,3.37259483,2.90261684,-469.977991,0.007257
1400.000000,3.37302709,2.90323582,-469.791266,0.007309
1410.000000,3.37344861,2.90385480,-469.593812,0.007360
1420.000000,3.37386847,2.90447377,-469.394691,0.007412
1430.000000,3.37428164,2.90509275,-469.188894,0.007464
1440.000000,3.37468004,2.90571173,-468.968317,0.007516
1450.000000,3.37507915,2.90633070,-468.748455,0.007568
1460.000000,3.37547040,2.90694967,-468.520726,0.007620
1470.000000,3.37587309,2.90756865,-468.304442,0.007671
1480.000000,3.37625313,2.90818762,-468.065509,0.007723
1490.000000,3.37662625,2.90880659,-467.819662,0.007775
1500.000000,3.37699962,2.90942556,-467.574054,0.007827
1510.000000,3.37736559,2.91004453,-467.321055,0.007879
1520.000000,3.37772655,2.91066350,-467.063050,0.007931
1530.000000,3.37809229,2.91128248,-466.809814,0.007982
1540.000000,3.37843013,2.91190145,-466.528683,0.008034
1550.000000,3.37879562,2.91252041,-466.275209,0.008086
1560.000000,3.37913346,2.91313938,-465.994079,0.008138
1570.000000,3.37948394,2.91375835,-465.725585,0.008190
1580.000000,3.37981367,2.91437732,-465.436349,0.008242
1590.000000,3.38013172,2.91499629,-465.135431,0.008293
1600.000000,3.38052320,2.91561526,-464.907946,0.008345
1610.000000,3.38081741,2.91623423,-464.583186,0.008397
1620.000000,3.38115311,2.91685319,-464.299912,0.008449
1630.000000,3.38146591,2.91747216,-463.993749,0.008501
1640.000000,3.38177800,2.91809113,-463.686872,0.008553
1650.000000,3.38208842,2.91871010,-463.378325,0.008604
1660.000000,3.38240123,2.91932906,-463.072163,0.008656
1670.000000,3.38270807,2.91994803,-462.760041,0.008708
1680.000000,3.38301229,2.92056700,-462.445296,0.008760
1690.000000,3.38330173,2.92118597,-462.115769,0.008812
1700.000000,3.38360238,2.92180493,-461.797448,0.008864
1710.000000,3.38390279,2.92242390,-461.478889,0.008915
1720.000000,3.38419151,2.92304287,-461.148647,0.008967
1730.000000,3.38447928,2.92366183,-460.817452,0.009019
1740.000000,3.38477278,2.92428080,-460.491979,0.009071
1750.000000,3.38506079,2.92489977,-460.161022,0.009123
1760.000000,3.38533258,2.92551873,-459.813853,0.009175
1770.000000,3.38561773,2.92613770,-459.480035,0.009226
1780.000000,3.38590002,2.92675666,-459.143357,0.009278
1790.000000,3.38617778,2.92737563,-458.802148,0.009330
1800.000000,3.38645983,2.92799460,-458.465231,0.009382
1810.000000,3.38672113,2.92861356,-458.107572,0.009434
1820.000000,3.38698769,2.92923253,-457.755158,0.009486
1830.000000,3.38725352,2.92985149,-457.402029,0.009537
1840.000000,3.38752699,2.93047046,-457.056529,0.009589
1850.000000,3.38777637,2.93108943,-456.686949,0.009641
1860.000000,3.38802242,2.93170839,-456.314031,0.009693
1870.000000,3.38829780,2.93232736,-455.970439,0.009745
1880.000000,3.38855791,2.93294632,-455.611588,0.009797
1890.000000,3.38880014,2.93356529,-455.234856,0.009848
1900.000000,3.38905501,2.93418425,-454.870759,0.009900
1910.000000,3.38931203,2.93480322,-454.508809,0.009952
1920.000000,3.38953733,2.93542219,-454.115149,0.010004
1930.000000,3.38979530,2.93604115,-453.754152,0.010056
1940.000000,3.39004707,2.93666012,-453.386957,0.010108
1950.000000,3.39028263,2.93727908,-453.003548,0.010159
1960.000000,3.39053226,2.93789805,-452.634207,0.010211
1970.000000,3.39076352,2.93851701,-452.246508,0.010263
1980.000000,3.39099669,2.93913598,-451.860715,0.010315
1990.000000,3.39123273,2.93975494,-451.477784,0.010367
2000.000000,3.39146972,2.94037391,-451.095807,0.010419
2010.000000,3.39171147,2.94099288,-450.718598,0.010470
2020.000000,3.39193821,2.94161184,-450.326368,0.010522
2030.000000,3.39216208,2.94223081,-449.931278,0.010574
2040.000000,3.39238644,2.94284977,-449.536664,0.010626
2050.000000,3.39261937,2.94346874,-449.150634,0.010678
2060.000000,3.39284182,2.94408770,-448.754113,0.010730
2070.000000,3.39306402,2.94470667,-448.357353,0.010781
2080.000000,3.39329052,2.94532563,-447.964886,0.010833
2090.000000,3.39351583,2.94594460,-447.571226,0.010885
2100.000000,3.39373159,2.94656357,-447.168029,0.010937
2110.000000,3.39394832,2.94718253,-446.765786,0.010989
2120.000000,3.39417124,2.94780150,-446.369742,0.011041
2130.000000,3.39438629,2.94842046,-445.965830,0.011092
2140.000000,3.39459729,2.94903943,-445.557865,0.011144
2150.000000,3.39480829,2.94965839,-445.149900,0.011196
2160.000000,3.39502883,2.95027736,-444.751472,0.011248
2170.000000,3.39522815,2.95089632,-444.331824,0.011300
2180.000000,3.39544749,2.95151529,-443.932204,0.011352
2190.000000,3.39565706,2.95213425,-443.522809,0.011403
2200.000000,3.39585423,2.95275322,-443.101015,0.011455
2210.000000,3.39607453,2.95337218,-442.702349,0.011507
2220.000000,3.39626336,2.95399115,-442.272211,0.011559
2230.000000,3.39648128,2.95461012,-441.871160,0.011611
2240.000000,3.39668870,2.95522908,-441.459619,0.011663
2250.000000,3.39689159,2.95584805,-441.043548,0.011714
2260.000000,3.39708829,2.95646701,-440.621278,0.011766
2270.000000,3.39729452,2.95708598,-440.208544,0.011818
2280.000000,3.39749074,2.95770494,-439.785797,0.011870
2290.000000,3.39769173,2.95832391,-439.367819,0.011922
2300.000000,3.39788890,2.95894287,-438.946026,0.011974
2310.000000,3.39808822,2.95956184,-438.526378,0.012025
2320.000000,3.39828825,2.96018080,-438.107446,0.012077
2330.000000,3.39847946,2.96079977,-437.679692,0.012129
2340.000000,3.39867640,2.96141873,-437.257661,0.012181
2350.000000,3.39887476,2.96203770,-436.837060,0.012233
2360.000000,3.39906740,2.96265667,-436.410736,0.012285
2370.000000,3.39925718,2.96327563,-435.981552,0.012336
2380.000000,3.39944887,2.96389460,-435.554275,0.012388
2390.000000,3.39964461,2.96451356,-435.131052,0.012440
2400.000000,3.39983511,2.96513253,-434.702583,0.012492
