cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,n_fit_samples,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_intercept_V,quad_r2,quad_n_fit_samples,sqrt_t_slope_excess_over_quad,ir_skip_s
3,158,delithiation,10,0.4269969458768226,0.4169443841409197,-4.4153e-05,1799.980000000447,9000.0,0.0074070394000000095,-0.009537607400000009,0.022076254705561037,6081417.125,0.1332440972,0.1406511366,1801,90811,9,8999.97000000067,0.1311135292,7.070843917638223e-05,5.285056893367282e-07,0.13797049779935758,0.9114498702836682,1741,0.0002021133039544466,3.209516966804387e-07,-2.4352070389489428e-06,0.1364140886579236,0.9991156850053512,1741,-0.00013140486477806437,60.0
3,159,delithiation,10,0.4169443841409197,0.40689177686989264,-4.41532e-05,1799.980000000447,9000.0,0.007680565100000009,-0.009544283100000023,0.02207635470444993,6092217.125,0.1331306696,0.1408112347,1801,90811,9,8999.97000000067,0.1312669516,8.314759633512814e-05,4.825436280010342e-07,0.1375983847578221,0.944670865604168,1741,0.0002033935750975237,2.1834256184582752e-07,-2.22840953706115e-06,0.13617414570181124,0.9996932424375303,1741,-0.00012024597876239557,60.0
3,160,delithiation,10,0.40689177686989264,0.39683916959886545,-4.41532e-05,1799.980000000447,9000.0,0.008064508400000003,-0.009919345299999993,0.02207635470444993,6103017.125,0.1332885623,0.1413530707,1801,90811,9,8999.97000000067,0.1314337254,9.521778288290462e-05,4.501349479627657e-07,0.1376105504910777,0.9625897881867973,1741,0.00020738903824672563,2.0326800028130768e-07,-2.0787680204325814e-06,0.13628195152673425,0.9997934236969153,1741,-0.00011217125536382101,60.0
3,161,delithiation,10,0.39683916959886545,0.3867865395602761,-4.41533e-05,1799.980000000447,9000.0,0.008501052799999992,-0.010133534599999994,0.02207640470389437,6113817.125,0.1334768534,0.1419779062,1801,90811,9,8999.97000000067,0.1318443716,0.0001081333775947253,4.00286085692278e-07,0.13766325859670586,0.9767248091000282,1741,0.00020764437092322965,2.4645882269826793e-07,-1.8441468800691834e-06,0.1364846125857601,0.9997610655496272,1741,-9.951099332850434e-05,60.0
3,162,delithiation,10,0.3867865395602761,0.3767337729163135,-4.41539e-05,1799.980000000447,9000.0,0.009430587299999987,-0.011207580599999989,0.022076704700561035,6124617.125,0.1340549886,0.1434855759,1801,90811,9,8999.97000000067,0.1322779953,0.0001309973534345525,3.2413377395635886e-07,0.13815977934142631,0.9894652638487563,1741,0.00021092221175280564,3.193330773899523e-07,-1.4811748247877862e-06,0.13721311895465635,0.9997231142067629,1741,-7.992485831825313e-05,60.0
3,163,delithiation,10,0.3767337729163135,0.3666810062723509,-4.41539e-05,1799.980000000447,9000.0,0.0099701881,-0.012025892699999985,0.022076704700561035,6135417.125,0.1346383393,0.1446085274,1801,90811,9,8999.97000000067,0.1325826347,0.00014354656661215242,2.6397807347630326e-07,0.13870118364648065,0.9941534041057448,1741,0.00020778670165306633,3.643718721218331e-07,-1.1905040905389428e-06,0.13794029908110378,0.9996983559074557,1741,-6.424013504091391e-05,60.0
3,164,delithiation,10,0.3666810062723509,0.3566281940932641,-4.41541e-05,1799.980000000447,9000.0,0.010553538800000012,-0.012609958700000007,0.022076804699449927,6146217.125,0.1348421574,0.1453956962,1801,90811,9,8999.97000000067,0.1327857375,0.00015719277998193872,1.8202517744848563e-07,0.13887605927532515,0.9976735924640329,1741,0.00019973166198987476,3.9165271371484465e-07,-7.883344735337716e-07,0.13837221259555485,0.9997083493698156,1741,-4.253888200793604e-05,60.0
3,165,delithiation,10,0.3566281940932641,0.34657551851955026,-4.41535e-05,1799.980000000447,9000.0,0.010643213900000004,-0.012718915899999989,0.02207650470278326,6157017.125,0.13499856,0.1456417739,1801,90811,9,8999.97000000067,0.132922858,0.00016423360781009778,1.1035361446495685e-07,0.13875529372611956,0.9992154731879808,1741,0.0001869956888639118,3.785530146309614e-07,-4.218289794475821e-07,0.1384856909904058,0.9997500081483877,1741,-2.2762081053814007e-05,60.0
3,166,delithiation,10,0.34657551851955026,0.33652284294583645,-4.41535e-05,1799.980000000447,9000.0,0.010789990400000005,-0.012437224400000002,0.02207650470278326,6167817.125,0.135060817,0.1458508074,1801,90811,9,8999.97000000067,0.133413583,0.00017938783247059404,7.919117836650813e-08,0.13823938753442372,0.9996612181993845,1741,0.0001667376341874801,3.700648007756695e-07,2.3443463797779488e-07,0.13838922128891393,0.9997996636358468,1741,1.265019828311395e-05,60.0
3,167,delithiation,10,0.33652284294583645,0.32647016737212275,-4.41535e-05,1799.980000000447,9000.0,0.011233240300000003,-0.012200802499999996,0.02207650470278326,6178617.125,0.1354647875,0.1466980278,1801,90811,9,8999.97000000067,0.1344972253,0.0001956257628012824,1.8940890532803405e-07,0.13834185398406507,0.9983724255966531,1741,0.00015125559582673627,4.006829715619476e-07,8.222720149543464e-07,0.13886739109871002,0.9998027669893444,1741,4.4370166974546125e-05,60.0
3,168,delithiation,10,0.32647016737212275,0.3164174690308468,-4.41536e-05,1799.980000000447,9000.0,0.011538595000000013,-0.011357963100000007,0.0220765547022277,6189417.125,0.1366122067,0.1481508017,1801,90811,9,8999.97000000067,0.1367928386,0.000208562693144712,2.7285396412450055e-07,0.1392239546440573,0.9970324628528863,1741,0.0001447374617463246,5.832238952020895e-07,1.18281505807387e-06,0.1399799249330513,0.9996328495912705,1741,6.382523139838742e-05,60.0
3,169,delithiation,10,0.3164174690308468,0.30636479345713297,-4.41535e-05,1799.980000000447,9000.0,0.011396288899999996,-0.009636074299999992,0.02207650470278326,6200217.125,0.1388862729,0.1502825618,1801,90811,9,8999.97000000067,0.1406464875,0.00020469032264016412,2.1636496761827903e-07,0.1417118682500599,0.9980607409725653,1741,0.0001843507379018147,1.2182385220515678e-06,3.769350549347523e-07,0.14195277801905928,0.9983351912129291,1741,2.0339584738349425e-05,60.0
3,170,delithiation,10,0.30636479345713297,0.29631202681317037,-4.41539e-05,1799.980000000447,9000.0,0.010338574699999992,-0.0093869865,0.022076704700561035,6211017.125,0.1428955495,0.1532341242,1801,90811,9,8999.97000000067,0.1438471377,0.00014841818323657572,4.540760971927659e-07,0.14714212779924052,0.9839833969530027,1741,0.00025864216282104577,6.550047432578095e-07,-2.0426809266048573e-06,0.14583659310903369,0.9990975154217062,1741,-0.00011022397958447005,60.0
3,171,delithiation,10,0.29631202681317037,0.28625921463408355,-4.41541e-05,1799.980000000447,9000.0,0.009950935800000005,-0.009876161800000005,0.022076804699449927,6221817.125,0.146093905,0.1560448408,1801,90811,9,8999.97000000067,0.146168679,0.00011711775162273596,3.632156718664237e-07,0.15108458815346737,0.9835494848507993,1741,0.00018200197891042402,1.5433919323708379e-06,-1.202440467291163e-06,0.15031607471481898,0.9919565833598938,1741,-6.488422728768806e-05,60.0
3,172,delithiation,10,0.28625921463408355,0.27620637968743433,-4.41542e-05,1799.980000000447,9000.0,0.010551303600000006,-0.0102252662,0.02207685469889437,6232617.125,0.1485822201,0.1591335237,1801,90811,9,8999.97000000067,0.1489082575,0.00013532153031894792,3.309999074022716e-07,0.15335155722831434,0.9897026315938251,1741,0.00018776344339484842,1.5554713230564198e-06,-9.71858356041256e-07,0.15273041528624604,0.9938421048077223,1741,-5.24419130759005e-05,60.0
