dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,kind,parameter,vector_rms_mV,vector_bias_mV,vector_centered_rms_mV,high_current_rms_mV,high_current_ratio,high_transition_rms_mV,high_transition_ratio,late_progress_rms_mV,late_progress_ratio,n_points
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,residual,,226.69937789401084,124.98637633244628,189.13226501265098,351.0952389154672,1.5487260802260134,334.49325930967757,1.4754926211842707,337.4491347664839,1.4885313665229911,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,Dsn,6.54753157522349,3.2471222632724093,5.685628086316346,6.672238880620499,1.0190464610921333,6.3172771560723255,0.964833400724256,0.9254142922129686,0.1413378891848079,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,Dsp,2.0379417121948467,0.3426720427608615,2.0089256565173743,2.130277711532608,1.0453084594055029,2.9674068534598343,1.4560803362054753,0.021155442033379882,0.010380788570540441,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,j0n,23.8636103686374,11.346820073106956,20.993369764158288,37.241637543805545,1.5606036542044004,34.4135585228931,1.4420935470904646,23.3064636383854,0.9766528734904159,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,j0p,0.6091442711641362,0.2551671940002531,0.5531242592746443,1.007040658801552,1.6532054990470413,1.0675759259458255,1.7525830521324286,0.3705838857610864,0.6083680062407272,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,De,0.6464128992721969,0.5120309508583516,0.3945553721704722,0.6989707665081217,1.0813069592130669,0.8426643764530943,1.3036008059273865,0.6370410244221234,0.9855017205556612,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,kappa_e,0.7750669348356348,0.3555151807176604,0.6887217941627776,1.2808824758951018,1.6526088500559415,1.319931563792861,1.7029904185923934,0.7540675677009305,0.9729063824156586,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,Rn,28.635903418704032,-17.28515609921069,22.830644827320683,41.96259157879726,1.465383891167501,37.19614994141367,1.2989340478470244,23.845568211189086,0.8327157646304235,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,Rp,4.180918532921973,-0.9124542377876443,4.0801356647633416,4.682735256761696,1.120025472844842,6.198203113564455,1.4824979402869722,0.3857921418805534,0.09227449395215309,2000
calce_a123,008,FUDS,calce_a123/008/FUDS,A123 008 FUDS,FUDS,B,response,brug_e,1.4584762028395901,-1.0975582112574866,0.9604784261765884,2.157847330846327,1.479521795861387,2.1169239266168804,1.4514627818371812,1.4305865053466618,0.9808775093905349,2000
