variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
B0p5_capmatch,113080.02100000001,0.6997975168875263,0.7005845683594975,0.7088907109367901,0.050412161260662426,0.0509742089
B0p5_capmatch,113160.02100000001,0.7002925954930099,0.7010796377706616,0.7093874434418836,0.05041628051962262,0.0509764291
B0p5_capmatch,113240.02100000001,0.7007876706664299,0.7015747120108387,0.709884219232776,0.05040576358568391,0.0509845875
B0p5_capmatch,113320.02100000001,0.7012827493434151,0.7020697982844589,0.7103810429176896,0.05039246360988317,0.0509971865
B0p5_capmatch,113400.02100000001,0.7017778253033495,0.7025648793489803,0.7108777783681279,0.050387203220522855,0.0509623475
B0p5_capmatch,113480.02100000001,0.702272901620791,0.7030599594363639,0.7113745388478792,0.05037656543664881,0.0509897731
B0p5_capmatch,113570.02100000001,0.7028298680550158,0.7036169225525671,0.7119333405826945,0.05037318640521671,0.0509601273
B0p5_capmatch,113650.02100000001,0.7033249453019742,0.7041120021318231,0.7124300889258541,0.0503801053055554,0.0509986691
B0p5_capmatch,113730.02100000001,0.7038200228349382,0.7046070785346004,0.7129267693251323,0.05037996743066623,0.0509393699
B0p5_capmatch,113810.02100000001,0.7043151063025118,0.7051021529450867,0.7134234786818356,0.05036020927853991,0.0509727262
B0p5_capmatch,113890.02100000001,0.7048101859805154,0.7055972366774635,0.7139202122849777,0.05037666000791335,0.0509630926
B0p5_capmatch,113970.02100000001,0.7053052619404497,0.706092315706552,0.7144168920632293,0.050350700329205245,0.0509519689
B0p5_capmatch,114050.02100000001,0.705800341832957,0.7065873873206217,0.7149135325252319,0.05034752258367055,0.050930474
B0p5_capmatch,114130.02100000001,0.7062954142178255,0.7070824657149005,0.7154102366915782,0.05034315995265065,0.0509593822
B0p5_capmatch,114210.02100000001,0.7067904961838716,0.7075775457603082,0.7159069020267695,0.05032616042386558,0.0509238057
B0p5_capmatch,114290.02100000001,0.7072855778639121,0.7080726239850245,0.7164035672426218,0.05030853246336208,0.0509386323
B0p5_capmatch,114370.02100000001,0.7077806544673587,0.7085676988607291,0.7169001864693609,0.050321099502679996,0.0508934148
B0p5_capmatch,114460.02100000001,0.7083376155389841,0.709124656695251,0.7174589012553121,0.05029273849995313,0.0509119444
B0p5_capmatch,114540.02100000001,0.7088326954314915,0.7096197328849218,0.717955529769108,0.05029369105489158,0.0508971252
B0p5_capmatch,114620.02100000001,0.7093277788990655,0.710114810516812,0.7184521679504203,0.05031417023254427,0.0509260334
B0p5_capmatch,114700.02100000001,0.7098228640111697,0.7106098919610131,0.7189488044527094,0.050318417699963494,0.0509037934
B0p5_capmatch,114780.02100000001,0.7103179422591467,0.7111049758212351,0.7194454424111838,0.050304287904235696,0.0509141721
B0p5_capmatch,114860.02100000001,0.7108130230811717,0.7116000559079367,0.7199420300713631,0.05029087954691109,0.0508904494
