variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
B0p5_capmatch,88560.00399999999,0.45231628448617034,0.4510497776039539,0.4457268665935078,0.15365295291559516,0.152500391
B0p5_capmatch,88630.00399999999,0.45188308899034035,0.4506165777609622,0.4453036452021705,0.15371304273178293,0.1525670886
B0p5_capmatch,88710.00399999999,0.45138801024185404,0.4501214993074657,0.44482004211787535,0.15377676896481313,0.1525722742
B0p5_capmatch,88780.00399999999,0.45095481560403994,0.44968830943698085,0.44439688814309125,0.15381331792441602,0.1526426971
B0p5_capmatch,88860.00399999999,0.45045973599753786,0.4491932285266484,0.443913268506177,0.15385671670235543,0.1526990235
B0p5_capmatch,88930.00399999999,0.45002654464878467,0.4487600317438095,0.4434901193806917,0.15390405440321553,0.1527538747
B0p5_capmatch,89000.00399999999,0.4495933535860368,0.44832683700069076,0.4430669966391042,0.15395306776294987,0.1527768523
B0p5_capmatch,89080.00399999999,0.4490982771255929,0.4478317560569849,0.44258342436417153,0.1540045989717405,0.1528531909
B0p5_capmatch,89150.00399999999,0.4486650824877788,0.4473985562523256,0.44216029809202506,0.15405402944054974,0.1528954506
B0p5_capmatch,89230.00399999999,0.4481699995922156,0.4469034708002476,0.44167675090983693,0.15411301271578362,0.152952522
B0p5_capmatch,89300.00399999999,0.44773680273786054,0.446470269466105,0.4412536483398603,0.15415191492596858,0.1530029178
B0p5_capmatch,89380.00399999999,0.44724172477588886,0.4459751892929278,0.44077016867158847,0.15421336453493836,0.1530192196
B0p5_capmatch,89450.00399999999,0.4468085320686104,0.4455420009908283,0.4403471390102852,0.15426859522387104,0.1530592442
B0p5_capmatch,89530.00399999999,0.4463134564661825,0.44504692580004146,0.4398636625371031,0.15431991034940387,0.1531244665
B0p5_capmatch,89600.00399999999,0.44588026483142396,0.4446137340222953,0.43944062934124706,0.15434958877883415,0.1531689465
B0p5_capmatch,89670.00399999999,0.4454470696215993,0.44418054428358733,0.43901761893088154,0.15440647021979065,0.1532215625
B0p5_capmatch,89750.00399999999,0.44495199008659847,0.44368547080028603,0.43853418183140874,0.15446801430276746,0.1532727033
B0p5_capmatch,89820.00399999999,0.4445187923742274,0.4432522815527238,0.43811118791564224,0.1545292040324626,0.1533075422
B0p5_capmatch,89900.00399999999,0.4440237103366802,0.44275720052145073,0.43762772912603326,0.154605447121622,0.1534090787
B0p5_capmatch,89970.00399999999,0.4435905149838527,0.4423239997895855,0.43720472119093245,0.15463030159669455,0.1534261256
B0p5_capmatch,90050.00399999999,0.4430954352343479,0.44182891893038445,0.43672132870182756,0.1547095668408857,0.1534935832
B0p5_capmatch,90120.00399999999,0.4426622394525126,0.44139572515060105,0.43629837015375844,0.15477120318937593,0.1535298973
B0p5_capmatch,90190.00399999999,0.44222904224065085,0.4409625303515594,0.4358754112438379,0.15481643575985402,0.1535995752
B0p5_capmatch,90270.00399999999,0.4417339617046313,0.4404674511996676,0.43539204888668726,0.15486922718912824,0.1536410749
