window,dataset,protocol,parameter_match_grade,bin_by,bin,bin_edge_low,bin_edge_high,n_points,RMSE_mV,MAE_mV,Bias_mV
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,low,0.0,0.12950004511548352,1000,181.43959345926677,110.70865424058972,92.60895974286116
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,medium,0.12950004511548352,0.41128332375257404,800,243.63841470424165,182.52338598535846,146.46766201669942
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,high,0.41128332375257404,1.1126942051534106,200,334.49325930967757,270.0846183000204,200.94831654335917
calce_a123/008/US06,calce_a123,US06,B,abs_dI_dt_A_s,low,0.0,0.10344245988984402,1000,180.71960843747715,120.76850076374039,106.17223827709374
calce_a123/008/US06,calce_a123,US06,B,abs_dI_dt_A_s,medium,0.10344245988984402,0.36997499026953296,800,218.91647150192875,162.3726530949949,149.6432110952526
calce_a123/008/US06,calce_a123,US06,B,abs_dI_dt_A_s,high,0.36997499026953296,1.295712586745368,200,286.259820921775,211.84070476386995,194.98732445586563
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_dI_dt_A_s,low,0.0,1.796659934216985e-05,380,194.6597248432777,174.8287407978691,174.8287407978691
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_dI_dt_A_s,medium,1.796659934216985e-05,1.7967155294335082e-05,304,196.17818733391218,176.16935780746573,176.16935780746573
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_dI_dt_A_s,high,1.7967155294335082e-05,0.00045165137795302675,76,240.9494506164762,187.54464910443133,187.54464910443133
calce_cs2/35/C1,calce_cs2,CC,B,abs_dI_dt_A_s,low,0.0,1.803158189677405e-05,187,288.5105939572683,259.611446788505,259.611446788505
calce_cs2/35/C1,calce_cs2,CC,B,abs_dI_dt_A_s,medium,1.803158189677405e-05,1.8032594050917865e-05,149,254.13283334069388,244.17692637611427,244.17692637611427
calce_cs2/35/C1,calce_cs2,CC,B,abs_dI_dt_A_s,high,1.8032594050917865e-05,5.409689040594387e-05,38,232.92816602606504,228.10616190664518,228.10616190664518
chen2020/02/C0p1,chen2020,CC,A,abs_dI_dt_A_s,low,0.0,5.1000000000023246e-06,543,84.42810394458074,67.39816415793281,67.39816415793281
chen2020/02/C0p1,chen2020,CC,A,abs_dI_dt_A_s,medium,5.1000000000023246e-06,1.526666666666898e-05,476,81.9759132687745,65.71504310064593,65.71504310064593
chen2020/02/C0p1,chen2020,CC,A,abs_dI_dt_A_s,high,1.526666666666898e-05,6.610006609999857e-05,194,109.68588966632676,81.2573247044807,81.2573247044807
chen2020/02/C0p5,chen2020,CC,A,abs_dI_dt_A_s,low,0.0,9.725897920600964e-06,142,98.31509120241569,76.4830526453867,76.2425289029884
chen2020/02/C0p5,chen2020,CC,A,abs_dI_dt_A_s,medium,9.725897920600964e-06,3.058212919198255e-05,113,101.90164724771394,82.56001745012644,82.5529903440981
chen2020/02/C0p5,chen2020,CC,A,abs_dI_dt_A_s,high,3.058212919198255e-05,0.0008823538235364189,29,249.9958904196669,220.56135639301405,220.56135639301405
chen2020/02/C1,chen2020,CC,A,abs_dI_dt_A_s,low,0.0,1.0333333333327014e-05,87,74.03735867693987,68.47997794625512,68.47997794625512
chen2020/02/C1,chen2020,CC,A,abs_dI_dt_A_s,medium,1.0333333333327014e-05,7.372533380609216e-05,71,73.22424656613131,67.09869903422603,67.09869903422603
chen2020/02/C1,chen2020,CC,A,abs_dI_dt_A_s,high,7.372533380609216e-05,0.011205893558940212,18,133.3399674747711,125.8086464493422,125.8086464493422
chen2020/02/C1p5,chen2020,CC,A,abs_dI_dt_A_s,low,0.0,1.4999999999994647e-05,71,50.545422980130546,45.53069691046755,43.33567518205316
chen2020/02/C1p5,chen2020,CC,A,abs_dI_dt_A_s,medium,1.4999999999994647e-05,8.818509624753408e-05,57,43.41164064275274,35.565352122699856,32.59909953097866
chen2020/02/C1p5,chen2020,CC,A,abs_dI_dt_A_s,high,8.818509624753408e-05,0.010400010400000631,15,52.4146193184274,43.89655513906327,14.032510719495617
