window,dataset,protocol,parameter_match_grade,progress_bin,n_points,mean_residual_mV,rmse_mV,mean_abs_residual_mV
calce_a123/007/DST,calce_a123,DST,B,0-20%,400,56.12230548446323,135.38611250553768,86.58414801310988
calce_a123/007/DST,calce_a123,DST,B,20-40%,400,82.67014977463221,148.18914399219716,101.44376429346866
calce_a123/007/DST,calce_a123,DST,B,40-60%,400,78.62789463494546,146.01167412912991,99.36691577991901
calce_a123/007/DST,calce_a123,DST,B,60-80%,400,96.62168677650465,157.57172286621508,112.53567056965288
calce_a123/007/DST,calce_a123,DST,B,80-100%,400,257.32991816191554,336.0587903246079,261.81815778313717
calce_a123/007/FUDS,calce_a123,FUDS,B,0-20%,401,55.64051507384476,133.2039258487929,92.61231117255925
calce_a123/007/FUDS,calce_a123,FUDS,B,20-40%,400,87.50210703503072,154.52188231099595,109.9608300565569
calce_a123/007/FUDS,calce_a123,FUDS,B,40-60%,399,79.83328637368575,155.0551380450597,105.63755355549668
calce_a123/007/FUDS,calce_a123,FUDS,B,60-80%,400,95.59806940596474,165.62464575217527,115.65264155356512
calce_a123/007/FUDS,calce_a123,FUDS,B,80-100%,400,230.8649400913472,321.21489346515756,236.29006924974004
calce_a123/007/US06,calce_a123,US06,B,0-20%,400,58.48436176004332,113.87196617034805,79.99932812261271
calce_a123/007/US06,calce_a123,US06,B,20-40%,400,90.13284723697586,131.05153798437075,97.17020824854153
calce_a123/007/US06,calce_a123,US06,B,40-60%,400,83.39185368375432,125.18398269144491,92.61305575455573
calce_a123/007/US06,calce_a123,US06,B,60-80%,400,101.20133904757455,147.31812354671382,107.33234642152803
calce_a123/007/US06,calce_a123,US06,B,80-100%,400,232.84802864265555,297.23849910298395,232.96514346344196
calce_a123/008/DST,calce_a123,DST,B,0-20%,400,71.91477585893723,172.06623886130387,111.35585574658853
calce_a123/008/DST,calce_a123,DST,B,20-40%,400,92.38405208968838,181.39454366902922,122.11416003077603
calce_a123/008/DST,calce_a123,DST,B,40-60%,400,94.31149623389896,181.46103573910804,122.22999935867098
calce_a123/008/DST,calce_a123,DST,B,60-80%,400,108.46918225746921,193.9296721945029,133.82804542097503
calce_a123/008/DST,calce_a123,DST,B,80-100%,400,231.14764176952156,301.2885112945919,241.38373034255636
calce_a123/008/FUDS,calce_a123,FUDS,B,0-20%,401,63.874768771806394,166.6850586743966,113.78939195152135
calce_a123/008/FUDS,calce_a123,FUDS,B,20-40%,400,111.05109062885757,203.08227189671555,139.14843433848196
calce_a123/008/FUDS,calce_a123,FUDS,B,40-60%,399,88.04775148548866,182.93864396282433,123.50518390005571
calce_a123/008/FUDS,calce_a123,FUDS,B,60-80%,400,108.39075560137502,201.52533917775128,138.9667073151368
calce_a123/008/FUDS,calce_a123,FUDS,B,80-100%,400,253.62794763148796,337.4491347664839,261.475288696877
calce_a123/008/US06,calce_a123,US06,B,0-20%,400,73.55535660278639,140.98485826356546,102.25002320574687
calce_a123/008/US06,calce_a123,US06,B,20-40%,400,105.63901634221286,160.6877747685361,118.98240855946908
calce_a123/008/US06,calce_a123,US06,B,40-60%,400,93.61491998544756,158.728863455894,110.60363264988547
calce_a123/008/US06,calce_a123,US06,B,60-80%,400,119.52742970198716,173.72044018827452,129.9923569112402
calce_a123/008/US06,calce_a123,US06,B,80-100%,400,269.87395747873853,342.63565643174303,270.7584891549341
