dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,time_s,elapsed_fraction,q_fraction,current_A,abs_current_A,dI_dt_A_s,abs_dI_dt_A_s,voltage_exp_V,voltage_sim_V,residual_mV,abs_residual_mV
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1320.0,0.03668171631896563,0.03668164731021918,0.49958,0.49958,-2.0366666666667608e-05,2.0366666666667608e-05,4.0926,4.103414441743702,10.814441743701941,10.814441743701941
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1350.0,0.03751539168985121,0.037515421521425556,0.500191,0.500191,2.0366666666667608e-05,2.0366666666667608e-05,4.092,4.102544312277942,10.544312277942502,10.544312277942502
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1380.0,0.03834906706073679,0.03834919573263194,0.500191,0.500191,0.0,0.0,4.0911,4.101710549289124,10.610549289124194,10.610549289124194
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1410.0,0.039182742431622376,0.03918276985403481,0.500038,0.500038,-5.1000000000023246e-06,5.1000000000023246e-06,4.0908,4.100901597913701,10.101597913701355,10.101597913701355
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1440.0,0.04001641780250796,0.04001654406524119,0.500038,0.500038,0.0,0.0,4.0896,4.100103622217864,10.503622217863828,10.503622217863828
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1470.0,0.04085009317339354,0.04085011818664406,0.499886,0.499886,-5.066666666666183e-06,5.066666666666183e-06,4.0891,4.0993281296481054,10.228129648105266,10.228129648105266
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1500.0,0.041683768544279125,0.04168389239785043,0.500038,0.500038,5.066666666666183e-06,5.066666666666183e-06,4.0882,4.098556145478416,10.356145478416678,10.356145478416678
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1530.0,0.04251744391516471,0.042517466519253304,0.499733,0.499733,-1.0166666666666657e-05,1.0166666666666657e-05,4.0877,4.097818563305786,10.11856330578631,10.11856330578631
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1560.0,0.04335111928605029,0.04335124073045968,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.0868,4.097079188156852,10.279188156851582,10.279188156851582
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1590.0,0.04418479465693587,0.04418481485186255,0.499886,0.499886,0.0,0.0,4.0864,4.096360049452105,9.960049452105046,9.960049452105046
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1620.0,0.04501847002782145,0.04501858906306893,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.0858,4.095663426452941,9.863426452940693,9.863426452940693
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1650.0,0.04585214539870704,0.0458521631844718,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.0851,4.094970011616828,9.870011616828656,9.870011616828656
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1680.0,0.04668582076959262,0.04668593739567818,0.499886,0.499886,0.0,0.0,4.0844,4.094297000551641,9.897000551641,9.897000551641
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1710.0,0.0475194961404782,0.04751951151708105,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.0836,4.093646239022258,10.046239022257986,10.046239022257986
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1740.0,0.048353171511363785,0.048353285728287426,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.083,4.092998515426928,9.9985154269282,9.9985154269282
