time_s,voltage_V,capacity_Ah
6.296966602860344153e+01,3.944418212055344597e+00,8.745786948417139106e-02
6.656151863629561660e+01,3.943329916280011727e+00,9.244655366152162990e-02
7.374522385167996674e+01,3.941486521259705889e+00,1.024239220162221076e-01
8.092892906706431688e+01,3.939981823643790459e+00,1.124012903709225852e-01
8.811263428244866702e+01,3.938693808876105429e+00,1.223786587256230629e-01
9.529633949783301716e+01,3.937585302038696611e+00,1.323560270803235406e-01
1.024800447132173673e+02,3.936545027974315936e+00,1.423333954350240182e-01
1.096637499286017174e+02,3.935611313729969751e+00,1.523107637897244959e-01
1.168474551439860676e+02,3.934726240513787054e+00,1.622881321444249736e-01
1.240311603593704177e+02,3.933861153459656812e+00,1.722655004991254513e-01
1.312148655747547537e+02,3.933006230329076480e+00,1.822428688538259289e-01
1.383985707901391038e+02,3.932146519704080134e+00,1.922202372085264066e-01
1.527659812209078041e+02,3.930362521549527699e+00,2.121749739179273619e-01
1.671333916516765044e+02,3.928425082215685649e+00,2.321297106273283173e-01
1.815008020824452046e+02,3.926246120802264983e+00,2.520844473367293004e-01
1.958682125132139049e+02,3.923820967527752224e+00,2.720391840461302557e-01
2.102356229439826052e+02,3.921061601642722216e+00,2.919939207555312111e-01
2.246030333747513055e+02,3.918119135015991183e+00,3.119486574649321664e-01
2.389704438055200058e+02,3.914801637020934422e+00,3.319033941743331217e-01
2.533378542362887060e+02,3.911290402174155023e+00,3.518581308837340771e-01
2.677052646670574063e+02,3.907571761820543443e+00,3.718128675931350324e-01
2.820726750978261066e+02,3.903681483960211196e+00,3.917676043025359878e-01
2.964400855285948069e+02,3.899651212726177540e+00,4.117223410119369431e-01
3.251749063901322074e+02,3.891296524862135620e+00,4.516318144307388538e-01
3.539097272516696080e+02,3.882717180877157226e+00,4.915412878495407645e-01
3.826445481132070086e+02,3.874102836511839065e+00,5.314507612683426752e-01
4.113793689747444091e+02,3.865551755260185907e+00,5.713602346871445858e-01
4.401141898362818097e+02,3.857229668619536866e+00,6.112697081059464965e-01
4.688490106978192102e+02,3.849116022144798421e+00,6.511791815247484072e-01
4.975838315593566108e+02,3.841247992924783361e+00,6.910886549435503179e-01
5.263186524208939545e+02,3.833673948863404846e+00,7.309981283623522286e-01
5.550534732824313551e+02,3.826374029977831270e+00,7.709076017811541393e-01
5.837882941439687556e+02,3.819328348185316635e+00,8.108170751999560499e-01
6.412579358670435568e+02,3.805856623209352030e+00,8.906360220375598713e-01
6.929806134178109005e+02,3.794123178056901136e+00,9.624730741914033771e-01
7.395310232135014985e+02,3.783580120826810944e+00,1.027126421129862521e+00
7.860814330091920965e+02,3.772881850851312890e+00,1.091779768068321665e+00
8.326318428048826945e+02,3.761960560981950863e+00,1.156433115006780810e+00
8.745272116210041986e+02,3.751886071236413489e+00,1.214621127251394039e+00
9.164225804371257027e+02,3.741557411011167567e+00,1.272809139496007269e+00
9.583179492532472068e+02,3.730953949866826491e+00,1.330997151740620499e+00
1.000213318069368711e+03,3.720026128608364679e+00,1.389185163985233729e+00
1.042108686885490215e+03,3.708744276974448972e+00,1.447373176229846958e+00
1.084004055701611833e+03,3.697050585375046161e+00,1.505561188474460188e+00
1.125899424517733451e+03,3.684917353445239296e+00,1.563749200719073418e+00
1.167794793333855068e+03,3.672306991607501292e+00,1.621937212963686648e+00
1.209690162149976686e+03,3.659255463835054734e+00,1.680125225208299877e+00
1.251585530966098304e+03,3.645870212477459127e+00,1.738313237452913107e+00
1.293480899782219922e+03,3.632446908036197630e+00,1.796501249697526337e+00
1.331186731716729355e+03,3.620632669190604336e+00,1.848870460717678244e+00
1.368892563651238788e+03,3.609268561121732333e+00,1.901239671737830150e+00
1.406598395585748221e+03,3.598433801137661980e+00,1.953608882757982057e+00
1.444304227520257655e+03,3.588175704467452931e+00,2.005978093778133964e+00
1.482010059454767088e+03,3.578444252902775791e+00,2.058347304798285649e+00
1.519715891389276521e+03,3.569247168401699533e+00,2.110716515818437333e+00
1.557421723323785955e+03,3.560517062202594119e+00,2.163085726838589018e+00
1.595127555258295388e+03,3.552235298209093006e+00,2.215454937858741147e+00
1.632833387192804821e+03,3.544327389189876776e+00,2.267824148878893276e+00
1.670539219127314254e+03,3.536762144543715625e+00,2.320193359899044960e+00
1.708245051061823688e+03,3.529447887830045261e+00,2.372562570919196645e+00
1.745950882996333121e+03,3.522351997665136736e+00,2.424931781939348330e+00
1.783656714930842554e+03,3.515391294027200964e+00,2.477300992959500014e+00
1.821362546865351987e+03,3.508514050215077340e+00,2.529670203979651699e+00
1.859068378799861421e+03,3.501691199563598644e+00,2.582039414999803384e+00
1.896774210734370854e+03,3.494869985833169768e+00,2.634408626019955069e+00
1.934480042668880287e+03,3.488031139454649043e+00,2.686777837040106753e+00
1.972185874603389721e+03,3.481132201306225138e+00,2.739147048060258438e+00
2.009891706537899154e+03,3.474156378248264510e+00,2.791516259080410123e+00
2.047597538472408587e+03,3.467089036873009178e+00,2.843885470100561808e+00
2.085303370406918020e+03,3.459909181801763101e+00,2.896254681120713492e+00
2.123009202341427226e+03,3.452606618150286355e+00,2.948623892140865177e+00
2.160715034275936432e+03,3.445163498020255233e+00,3.000993103161016862e+00
2.198420866210445638e+03,3.437564757405418447e+00,3.053362314181168546e+00
2.236126698144954844e+03,3.429795072147507007e+00,3.105731525201320231e+00
2.273832530079464050e+03,3.421831630901873034e+00,3.158100736221471916e+00
2.311538362013973256e+03,3.413655831219167602e+00,3.210469947241623601e+00
2.349244193948482462e+03,3.405237622253749041e+00,3.262839158261775285e+00
2.386950025882991667e+03,3.396551941964892851e+00,3.315208369281926970e+00
2.424655857817500873e+03,3.387560352092157778e+00,3.367577580302078655e+00
2.462361689752010079e+03,3.378245222148395399e+00,3.419946791322230339e+00
2.500067521686519285e+03,3.368573333043525686e+00,3.472316002342382024e+00
2.537773353621028491e+03,3.358594373789710819e+00,3.524685213362533709e+00
2.571708602362086822e+03,3.349361087329716380e+00,3.571817503280670270e+00
2.602250326229039274e+03,3.340928957981104119e+00,3.614236564206993130e+00
2.632792050095991726e+03,3.332468874882667631e+00,3.656655625133315990e+00
2.660279601576249206e+03,3.324864016873066763e+00,3.694832779967006875e+00
2.687767153056506686e+03,3.317329288986210933e+00,3.733009934800697760e+00
2.715254704536764166e+03,3.309861105761523703e+00,3.771187089634388645e+00
2.742742256017021646e+03,3.302476113614099873e+00,3.809364244468079530e+00
2.770229807497279126e+03,3.295116649099502304e+00,3.847541399301770415e+00
2.797717358977536605e+03,3.287748312276098872e+00,3.885718554135461300e+00
2.825204910457794085e+03,3.280312134077251862e+00,3.923895708969152185e+00
2.852692461938051565e+03,3.272713604190979453e+00,3.962072863802843070e+00
2.880180013418309045e+03,3.264902882869684664e+00,4.000250018636533511e+00
2.907667564898566525e+03,3.256774347889202392e+00,4.038427173470224396e+00
2.932406361230798211e+03,3.249128441448545068e+00,4.072786612820546104e+00
2.957145157563029898e+03,3.241087338347926394e+00,4.107146052170867812e+00
2.981883953895261584e+03,3.232547330632959515e+00,4.141505491521189519e+00
3.004148870594270193e+03,3.224326344499842456e+00,4.172428986936479234e+00
3.026413787293278801e+03,3.215458257908655693e+00,4.203352482351768948e+00
3.046452212322386458e+03,3.206765858495345789e+00,4.231183628225529070e+00
3.064486794848583486e+03,3.198215826394346539e+00,4.256231659511913179e+00
3.082521377374780513e+03,3.188802804636599930e+00,4.281279690798297288e+00
3.098752501648357793e+03,3.179428864128337473e+00,4.303822918956043075e+00
3.114983625921935072e+03,3.169067131998323017e+00,4.326366147113788863e+00
3.129591637768154669e+03,3.158822599113923602e+00,4.346655052455759893e+00
3.144199649614374266e+03,3.147655322196571070e+00,4.366943957797730924e+00
3.158807661460593863e+03,3.135627228964317226e+00,4.387232863139701955e+00
3.173415673306813460e+03,3.122823806540810487e+00,4.407521768481672986e+00
3.188023685153033057e+03,3.109406334252109438e+00,4.427810673823644017e+00
3.202631696999252654e+03,3.095533205774846586e+00,4.448099579165615047e+00
3.217239708845472251e+03,3.081376978072886796e+00,4.468388484507586078e+00
3.231847720691691848e+03,3.067106899273746023e+00,4.488677389849557109e+00
3.246455732537911445e+03,3.052837082757560605e+00,4.508966295191528140e+00
3.261063744384131041e+03,3.038633563768376789e+00,4.529255200533499170e+00
3.275671756230350638e+03,3.024510887665784686e+00,4.549544105875470201e+00
3.290279768076570235e+03,3.010453965697779566e+00,4.569833011217441232e+00
3.304887779922789832e+03,2.996393460107228179e+00,4.590121916559412263e+00
3.319495791769009429e+03,2.982183423154419977e+00,4.610410821901383294e+00
3.334103803615229026e+03,2.967654367457072340e+00,4.630699727243354324e+00
3.348711815461448623e+03,2.952668405141267716e+00,4.650988632585325355e+00
3.363319827307668220e+03,2.937001308751409301e+00,4.671277537927296386e+00
3.377927839153887817e+03,2.920380623078846938e+00,4.691566443269267417e+00
3.392535851000107414e+03,2.902528592428226695e+00,4.711855348611238448e+00
3.421751874692546153e+03,2.861973014591737474e+00,4.752433159295181397e+00
3.448046296015741063e+03,2.817967972906090690e+00,4.788953188910729963e+00
3.471711275206616392e+03,2.770132673609420060e+00,4.821821215564723317e+00
3.495376254397491721e+03,2.712242091907653307e+00,4.854689242218716672e+00
3.519041233588367049e+03,2.641575707319933297e+00,4.887557268872710026e+00
3.540339714860154800e+03,2.564330641106755238e+00,4.917138492861304222e+00
3.555449960790491787e+03,2.499999999999890310e+00,4.938124945542328170e+00
