Time [s],Voltage [V],Current [mA],Capacity [mAh],Temperature [K]
563892.8095554148,3.9082124,-0.687972454477243,1.205666654181349,298.15
563952.8095616733,3.9049826,-0.6879692687523632,1.217132809856568,298.15
564012.8095679318,3.9017131,-0.6879700881571975,1.228598979188536,298.15
564072.8095741903,3.8984044,-0.6879712466667286,1.240065167828998,298.15
564132.8095804488,3.8950169,-0.6879685960186496,1.251531312291987,298.15
564192.8095867073,3.8917475,-0.6879669561460313,1.262997429423764,298.15
564252.8095929658,3.8883994,-0.6879682130131499,1.274463567503327,298.15
564312.8095992242,3.8850119,-0.687969620703846,1.285929729044405,298.15
564372.8096054827,3.8815851,-0.6879692196222463,1.297395883900789,298.15
564432.8096117412,3.8781581,-0.6879706251135312,1.30886206218203,298.15
564492.8096179997,3.8747706,-0.6879709217002523,1.320328245406383,298.15
564552.8096242582,3.8715012,-0.6879685230228356,1.331794388652776,298.15
564612.8096305167,3.8680351,-0.6879674345586889,1.343260513758097,298.15
564672.8096367752,3.8645294,-0.6879659204002005,1.354726613627441,298.15
564732.8096430337,3.8611813,-0.6879643223978541,1.36619268686341,298.15
564792.8096492921,3.8577936,-0.6879653656379745,1.377658777486716,298.15
564852.8096555506,3.8543668,-0.6879653931733307,1.389124868568945,298.15
564912.8096618091,3.8510973,-0.6879636724947039,1.400590930973193,298.15
564972.8096680676,3.8476706,-0.687965327467164,1.412057020960319,298.15
565032.8096743261,3.8444407,-0.6879648960785925,1.423523103757634,298.15
565092.8096805846,3.8412106,-0.6879650229470656,1.434989188669424,298.15
565152.8096868431,3.8379018,-0.6879651700850895,1.446455276033515,298.15
565212.8096931016,3.834672,-0.6879663266793248,1.457921382674179,298.15
565272.80969936,3.8315208,-0.6879641598520311,1.46938745320105,298.15
565332.8097056185,3.8284483,-0.6879642739293489,1.48085352562921,298.15
565392.809711877,3.825376,-0.6879655485626235,1.492319619301261,298.15
565452.8097181355,3.8224218,-0.6879657863573159,1.503785716936556,298.15
565512.809724394,3.8194282,-0.6879649140235623,1.515251800032954,298.15
565572.8097306525,3.8165133,-0.6879661895548802,1.52671790438821,298.15
565632.809736911,3.8135984,-0.6879662880515454,1.538184010385077,298.15
565692.8097431695,3.8108017,-0.6879672556315245,1.549650132508279,298.15
565752.809749428,3.8081234,-0.687968462673139,1.561116274748843,298.15
565812.8097556864,3.8053267,-0.6879692367446721,1.572582429890601,298.15
565872.8097619449,3.802727,-0.6879696967732726,1.584048592699502,298.15
565932.8097682034,3.8000484,-0.6879699953488017,1.595514760484663,298.15
565992.8097744619,3.7975669,-0.6879704463433257,1.606980935786401,298.15
566052.8097807204,3.7950065,-0.687969525441726,1.618447095739776,298.15
566112.8097869789,3.7925644,-0.6879716897338356,1.629913291764691,298.15
566172.8097932374,3.7901616,-0.6879727911639779,1.641379506146776,298.15
566232.8097994959,3.7878771,-0.6879717862774555,1.652845703780752,298.15
566292.8098057543,3.7854743,-0.6879710156292155,1.664311888570588,298.15
566352.8098120128,3.7830715,-0.6879721596925688,1.675778092428149,298.15
566412.8098182713,3.780905,-0.6879699371846085,1.687244259243907,298.15
566472.8098245298,3.7785416,-0.6879694118114429,1.698710417303444,298.15
566532.8098307883,3.7763753,-0.6879692502947934,1.710176572671037,298.15
566592.8098370468,3.7742875,-0.6879693940293925,1.721642730434207,298.15
566652.8098433053,3.7721999,-0.6879706283222476,1.733108908768927,298.15
566712.8098495638,3.7700729,-0.6879705520839413,1.744575085833008,298.15
566772.8098558222,3.7678671,-0.6879709467779106,1.756041269475322,298.15
566832.8098620807,3.7659369,-0.6879694618992076,1.767507428369656,298.15
566892.8098683392,3.7638886,-0.687963914727955,1.778973494811125,298.15
566952.8098745977,3.7619586,-0.6879633259533353,1.790439551439684,298.15
567012.8098808562,3.7600679,-0.6879637180167533,1.801905614602633,298.15
567072.8098871147,3.7580197,-0.6879618261238022,1.81337164623403,298.15
567132.8098933732,3.756129,-0.6879622651616356,1.824837685182725,298.15
567192.8098996317,3.7541201,-0.6879613586962793,1.836303709023662,298.15
567252.8099058901,3.7523081,-0.6879620524823512,1.847769744427702,298.15
567312.8099121486,3.7503781,-0.6879627436994631,1.859235791352028,298.15
567372.8099184071,3.7484086,-0.6879609064580052,1.87070180765566,298.15
567432.8099246656,3.7466755,-0.6879625828623064,1.882167851899367,298.15
567492.8099309241,3.7446666,-0.6879625954110697,1.893633896352219,298.15
