Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
1509.8,0,0.0028838,2.7349,0.44521
1509.8,0,0.0028838,2.7398,0.44557
1509.8,0,0.0028838,2.7446,0.44591
1509.9,0,0.0028838,2.7495,0.44615
1509.9,0,0.0028838,2.7543,0.44637
1509.9,0,0.0028838,2.7596,0.44638
1509.9,0,0.0028838,2.7649,0.44652
1509.9,0,0.0028838,2.7701,0.44648
1510,0,0.0028838,2.7753,0.44639
1510,0,0.0028838,2.7805,0.44636
1510,0,0.0028838,2.7861,0.44615
1510,0,0.0028838,2.7916,0.44584
1510,0,0.0028838,2.7972,0.44573
1510.1,0,0.0028838,2.8027,0.44532
1510.1,0,0.0028838,2.8081,0.44493
1510.1,0,0.0028838,2.814,0.44451
1510.1,0,0.0028838,2.8198,0.44392
1510.2,0,0.0028838,2.8256,0.44337
1510.2,0,0.0028838,2.8314,0.44268
1510.2,0,0.0028838,2.837,0.44202
1510.2,0,0.0028838,2.8431,0.44131
1510.3,0,0.0028838,2.8491,0.44047
1510.3,0,0.0028838,2.8551,0.43965
1510.3,0,0.0028838,2.8614,0.43867
1510.3,0,0.0028838,2.8677,0.43756
1510.4,0,0.0028838,2.8739,0.43654
1510.4,0,0.0028838,2.8805,0.43535
1510.4,0,0.0028838,2.887,0.43408
1510.5,0,0.0028838,2.8934,0.43295
1510.5,0,0.0028838,2.9001,0.43137
1510.5,0,0.0028838,2.9068,0.42999
1510.6,0,0.0028838,2.9134,0.42847
1510.6,0,0.0028838,2.9199,0.42694
1510.6,0,0.0028838,2.9268,0.42524
1510.7,0,0.0028838,2.9335,0.42355
1510.7,0,0.0028838,2.9405,0.42188
1510.7,0,0.0028838,2.9478,0.41995
1510.8,0,0.0028838,2.955,0.41792
1510.8,0,0.0028838,2.9624,0.41579
1510.8,0,0.0028838,2.9698,0.41358
1510.9,0,0.0028838,2.977,0.41144
1510.9,0,0.0028838,2.9845,0.40904
1511,0,0.0028838,2.9918,0.40675
1511,0,0.0028838,2.9997,0.40406
1511.1,0,0.0028838,3.0074,0.40133
1511.1,0,0.0028838,3.0154,0.3985
1511.2,0,0.0028838,3.0234,0.39559
1511.2,0,0.0028838,3.0317,0.39247
1511.3,0,0.0028838,3.0401,0.38924
1511.3,0,0.0028838,3.0486,0.38595
1511.4,0,0.0028838,3.0572,0.38239
1511.4,0,0.0028838,3.0656,0.37898
1511.5,0,0.0028838,3.0744,0.37519
1511.6,0,0.0028838,3.0838,0.37105
1511.6,0,0.0028838,3.0932,0.36681
1511.7,0,0.0028838,3.1028,0.36228
1511.8,0,0.0028838,3.1126,0.35749
1511.9,0,0.0028838,3.1226,0.35257
1512,0,0.0028838,3.133,0.34725
1512.1,0,0.0028838,3.1437,0.34161
1512.2,0,0.0028838,3.1546,0.33572
1512.3,0,0.0028838,3.1659,0.32949
1512.4,0,0.0028838,3.1777,0.32276
1512.5,0,0.0028838,3.1903,0.31532
1512.7,0,0.0028838,3.2033,0.30735
1512.8,0,0.0028838,3.2162,0.29943
1513,0,0.0028838,3.2304,0.29027
1513.2,0,0.0028838,3.245,0.28069
1513.4,0,0.0028838,3.2607,0.27005
1513.7,0,0.0028838,3.2764,0.25935
1514,0,0.0028838,3.2941,0.24669
1514.3,0,0.0028838,3.3118,0.23405
1514.7,0,0.0028838,3.33,0.22079
1515.2,0,0.0028838,3.3498,0.20605
1515.8,0,0.0028838,3.3686,0.1922
1516.5,0,0.0028838,3.3886,0.17721
1517.3,0,0.0028838,3.408,0.16287
1518.3,0,0.0028838,3.4266,0.14936
1519.5,0,0.0028838,3.4443,0.13664
1520.9,0,0.0028838,3.4606,0.12536
1522.7,0,0.0028838,3.4757,0.11524
1524.8,0,0.0028838,3.4899,0.10611
1527.6,0,0.0028838,3.5029,0.098051
1531.2,0,0.0028838,3.5153,0.090684
1536,0,0.0028838,3.5274,0.083582
1542.6,0,0.0028838,3.5391,0.076918
1553.7,0,0.0028838,3.5521,0.068895
1573.9,0,0.0028838,3.566,0.059973
1634.5,0,0.0028838,3.584,0.046986
1754.5,0,0.0028838,3.5959,0.03778
1874.5,0,0.0028838,3.6004,0.03445
1994.5,0,0.0028838,3.6025,0.033163
2114.5,0,0.0028838,3.6036,0.032617
2234.5,0,0.0028838,3.6042,0.032622
2354.5,0,0.0028838,3.6045,0.032699
2474.5,0,0.0028838,3.6046,0.032801
2594.5,0,0.0028838,3.6047,0.033102
2714.5,0,0.0028838,3.6048,0.033326
2834.5,0,0.0028838,3.6048,0.033613
2954.5,0,0.0028838,3.6048,0.033795
3074.5,0,0.0028838,3.6048,0.034062
3194.5,0,0.0028838,3.6048,0.034136
