Stoichiometry,Voltage [V]
0.581451,3.88264
0.580862,3.88355
0.580273,3.88447
0.579684,3.88538
0.579095,3.8863
0.578506,3.88722
0.577917,3.88813
0.577328,3.88905
0.576739,3.88997
0.57615,3.89089
0.575561,3.8918
0.574972,3.89272
0.574383,3.89364
0.573794,3.89456
0.573205,3.89547
0.572616,3.89639
0.572027,3.8973
0.571438,3.89821
0.570849,3.89913
0.57026,3.90005
0.569671,3.90097
0.569082,3.90189
0.568493,3.90281
0.567904,3.90373
0.567315,3.90466
0.566726,3.90558
0.566137,3.90651
0.565548,3.90743
0.564959,3.90834
0.56437,3.90926
0.563781,3.91016
0.563192,3.91107
0.562603,3.91197
0.562014,3.91288
0.561424,3.91378
0.560835,3.91468
0.560246,3.91558
0.559657,3.91648
0.559068,3.91738
0.558479,3.91828
0.55789,3.91917
0.557301,3.92006
0.556712,3.92095
0.556123,3.92184
0.555534,3.92272
0.554945,3.92359
0.554356,3.92446
0.553767,3.92533
0.553178,3.92619
0.552589,3.92705
0.552,3.92792
0.551411,3.92878
0.550822,3.92965
0.550233,3.93051
0.549644,3.93138
0.549055,3.93224
0.548466,3.93309
0.547877,3.93394
0.547288,3.93478
0.546699,3.93562
0.54611,3.93645
0.545521,3.93728
0.544932,3.93812
0.544343,3.93894
0.543754,3.93977
0.543165,3.94059
0.542576,3.94142
0.541987,3.94224
0.541398,3.94305
0.540809,3.94386
0.54022,3.94467
0.539631,3.94548
0.539042,3.94628
0.538453,3.94708
0.537864,3.94787
0.537275,3.94867
0.536686,3.94945
0.536096,3.95024
0.535507,3.95102
0.534918,3.9518
0.534329,3.95257
0.53374,3.95334
0.533151,3.95411
0.532562,3.95488
0.531973,3.95565
0.531384,3.95642
0.530795,3.95718
0.530206,3.95794
0.529617,3.9587
0.529028,3.95945
0.528439,3.9602
0.52785,3.96094
0.527261,3.96168
0.526672,3.96242
0.526083,3.96316
0.525494,3.9639
0.524905,3.96463
0.524316,3.96535
0.523727,3.96608
0.523138,3.9668
0.522549,3.96751
0.52196,3.96823
0.521371,3.96894
0.520782,3.96964
0.520193,3.97035
0.519604,3.97105
0.519015,3.97176
0.518426,3.97246
0.517837,3.97315
0.517248,3.97385
0.516659,3.97453
0.51607,3.97522
0.515481,3.9759
0.514892,3.97659
0.514303,3.97727
0.513714,3.97795
0.513125,3.97862
0.512536,3.9793
0.511947,3.97997
0.511357,3.98063
0.510768,3.9813
0.510179,3.98196
0.50959,3.98262
0.509001,3.98327
0.508412,3.98393
0.507823,3.98458
0.507234,3.98523
0.506645,3.98588
0.506056,3.98653
0.505467,3.98717
0.504878,3.98782
0.504289,3.98846
0.5037,3.9891
0.503111,3.98973
0.502522,3.99037
0.501933,3.99099
0.501344,3.99161
0.500755,3.99223
0.500166,3.99285
0.499577,3.99346
0.498988,3.99407
0.498399,3.99468
0.49781,3.99529
0.497221,3.9959
0.496632,3.99652
0.496043,3.99713
0.495454,3.99775
0.494865,3.99836
0.494276,3.99897
0.493687,3.99958
0.493098,4.0002
0.492509,4.00081
0.49192,4.00142
0.491331,4.00203
0.490742,4.00265
0.490153,4.00326
0.489564,4.00387
0.488975,4.00448
0.488385,4.00509
0.487796,4.0057
0.487207,4.00631
0.486618,4.00693
0.486029,4.00754
0.48544,4.00816
0.484851,4.00878
0.484262,4.00939
0.483673,4.01001
0.483084,4.01062
0.482495,4.01123
0.481906,4.01185
0.481317,4.01247
0.480728,4.01309
0.480139,4.01372
0.47955,4.01435
0.478961,4.01498
0.478372,4.01562
0.477783,4.01626
0.477194,4.0169
0.476605,4.01755
0.476016,4.0182
0.475427,4.01886
0.474838,4.01951
0.474249,4.02017
0.473659,4.02084
0.47307,4.0215
0.472481,4.02217
0.471892,4.02284
0.471303,4.02351
0.470714,4.02419
0.470125,4.02487
0.469536,4.02556
0.468947,4.02626
0.468358,4.02696
0.467769,4.02767
0.46718,4.02838
0.466591,4.02911
0.466002,4.02984
0.465413,4.03057
0.464824,4.03132
0.464235,4.03207
0.463646,4.03282
0.463057,4.03358
0.462468,4.03434
0.461878,4.03511
0.461289,4.03589
0.4607,4.03667
0.460111,4.03747
0.459522,4.03826
0.458933,4.03906
0.458344,4.03987
0.457755,4.04068
0.457166,4.0415
0.456577,4.04232
0.455988,4.04316
0.455399,4.044
0.45481,4.04485
0.454221,4.04571
0.453632,4.04658
0.453043,4.04747
0.452454,4.04836
0.451865,4.04927
0.451276,4.05018
0.450686,4.0511
0.450097,4.05203
0.449508,4.05296
0.448919,4.0539
0.44833,4.05485
0.447741,4.0558
0.447152,4.05676
0.446563,4.05772
0.445974,4.0587
0.445385,4.05969
