Stoichiometry,Voltage [V]
0.887219,3.13981
0.887313,3.13478
0.887405,3.12979
0.887497,3.12476
0.887585,3.11985
0.887676,3.11477
0.887765,3.10972
0.887852,3.10471
0.887938,3.0997
0.888023,3.09468
0.888108,3.08963
0.888193,3.08455
0.888275,3.07957
0.888357,3.07452
0.888438,3.0695
0.888518,3.06446
0.888598,3.05942
0.888674,3.05458
0.888753,3.0495
0.888829,3.04457
0.888905,3.03958
0.888981,3.03457
0.889053,3.0297
0.889129,3.0246
0.889204,3.01955
0.889277,3.01453
0.889348,3.00958
0.889421,3.00456
0.889492,2.99953
0.889564,2.99446
0.889635,2.98939
0.889704,2.98441
0.889774,2.97931
0.889843,2.97429
0.889912,2.9692
0.889979,2.96426
0.890047,2.95918
0.890114,2.95411
0.890182,2.94902
0.890248,2.94396
0.890314,2.9389
0.89038,2.93376
0.890445,2.92874
0.890509,2.92369
0.890573,2.91862
0.890635,2.91366
0.890698,2.90864
0.89076,2.90365
0.890823,2.89853
0.890885,2.89345
0.890947,2.88839
0.891009,2.88331
0.89107,2.87819
0.89113,2.87317
0.89119,2.86813
0.89125,2.86303
0.89131,2.85796
0.891369,2.85292
0.891428,2.84781
0.891486,2.84278
0.891545,2.83769
0.891603,2.8326
0.89166,2.82752
0.891718,2.82244
0.891775,2.81733
0.891831,2.81231
0.891887,2.80734
0.891942,2.80232
0.891998,2.79727
0.892053,2.79219
0.892107,2.78728
0.892163,2.78216
0.892217,2.77715
0.892271,2.7721
0.892326,2.76698
0.89238,2.76196
0.892432,2.75704
0.892485,2.75202
0.892539,2.74692
0.892592,2.7419
0.892645,2.73685
0.892697,2.73185
0.892748,2.72688
0.892801,2.72183
0.892853,2.71678
0.892904,2.71182
0.892956,2.70675
0.893007,2.70171
0.893058,2.69671
0.893109,2.6917
0.893159,2.68677
0.893209,2.68187
0.893259,2.67688
0.893308,2.67197
0.893358,2.667
0.893408,2.66205
0.893457,2.65709
0.893507,2.65213
0.893556,2.64719
0.893605,2.64227
0.893655,2.63722
0.893703,2.63233
0.893752,2.62737
0.893802,2.62237
0.893851,2.61736
0.8939,2.61237
0.893949,2.60742
0.893997,2.60256
0.894045,2.59761
0.894093,2.59269
0.894142,2.58774
0.89419,2.58283
0.894238,2.57795
0.894286,2.573
0.894334,2.56809
0.894382,2.56317
0.89443,2.55827
0.894477,2.55342
0.894523,2.54867
0.894571,2.54376
0.894619,2.53884
0.894666,2.53402
0.894715,2.52899
0.894763,2.5241
0.894811,2.5192
0.894858,2.51431
0.894906,2.50936
0.894954,2.50445
